O15116	Q9CQ74	P68255	Q2HJ64	J9P1X6
Q6GZ88	O89113	M0R515	Q8HYW0	J9PBG8
P58549	P97470	D3ZIE5	F1MNG1	E2R5Q2
Q8WX94	F8VPN7	P62275	Q6QTH0	F1PAD5
P05305	P30412	F1LQW8	F1MJF8	F1P8S9
A0A0S2Z5I3	P12979	D4A0A2	F6Q0P6	J9P7U0
Q9BQT9	Q9Z2C8	D3ZVH6	A4IFA9	E2QS96
Q8IZV5	Q9QXV9	D3ZPD8	E1BFW9	F1P683
Q16083	Q9Z0G7	F1LR36	F1MKE9	E2RMJ6
P59826	P28667	A1L1J6	F6QA59	F1P7D3
Q9UMF0	F8VPT7	A0A0G2JSZ1	F1MLS1	J9P3H7
Q9NVL1	O88995	-	-	-
P31997	P09066	-	-	-
Q13103	Q9QXT6	F1M9I3	-	-
Q96I30	Q80TV8	G3V857	F1MFV9	E2RHK1
Q6IN51	Q5SUF2	-	-	-
P51580	Q8R2Z5	Q568Z9	F1MPW0	J9NUE0
A4D1B5	Q9D2E1	Q64611	P30671	F1PBD7
O15403	D3YZ50	D4A1C0	-	-
Q9Y5Y5	A0A0R4J1I9	B0BNF9	Q2TBS9	F1PWA9
A2RUR9	Q3UD82	Q8K3P6	A6QPI1	E2RLB6
A0M8Q9	P10810	D3ZN93	F1N026	F6XRS2
Q13822	O35929	F1M8X1	E1B9K7	F1PFU9
Q96RW7	Q99L13	Q6AXR3	A5PJX7	E2R8W0
Q9H611	A0A1B0GRD8	Q9ER31	F1MZT4	E2QV84
A6NK53	A2A8N2	-	-	-
Q9Y2P0	Q52KG4	A0A0G2K1T7	F1N0N5	E2RFA5
Q9BZJ8	Q6P6M7	D4ABD7	F1MMF7	J9NZ42
Q8N1N5	Q4VBD9	P32182	A6QLL4	F1PSG5
Q96Q04	Q9WVK5	A0A0G2K1F2	E1BEI3	E2RFT9
Q9P1T7	Q9R0A5	F1M111	F1MZS4	P62872
Q8NG95	P97926	M0R6E6	Q0VCN4	F1PFF1
Q15782	Q9Z280	A4L9P8	Q04790	J9P6X4
Q9NUI1	P20065	D3ZTK9	G3MXD4	F1PN96
H0Y8D1	P56528	-	-	-
Q8N319	Q9D7N6	-	-	-
Q2TAC6	P97464	O88583	F1N5B6	E2RDF9
Q9BQI9	Q8K4Z3	Q6AXQ3	Q6IED8	F1P7Z8
Q9UFQ0	O54992	D3ZEM6	F1N011	J9NWZ7
Q7Z3D6	Q9D9N8	D3ZAW4	E1BKE9	F1PCH0
A6NHX0	Q6IR41	D3ZCK2	F1MSH3	E2RET6
Q04743	Q8K377	P13264	E1BFE7	E2QU88
Q9UK13	Q5SVD0	Q641Y8	F1N6R4	E2RIU2
Q8IV16	Q9JK38	F1LP20	F1MX70	F1Q0W7
O43915	P62915	Q5UEM7	-	-
Q5BKX6	Q8R2X0	E9PU84	F1MYM5	J9P373
O95452	Q9CQ52	D4A0Y5	G3N1G9	J9NWJ7
Q9Y225	Q9D1F4	-	-	-
A2RUS2	F6ZNL5	Q63376	Q0IIH5	F1PZ19
Q7Z2Y5	Q99PI5	D4ACL4	E1BIK9	F1PWE5
Q96JA3	Q91YI0	D3ZBB3	P82927	F1PTX2
Q8WWH4	Q920L1	D4A4M0	E1BK30	F6XLZ4
Q8N5Q5	P51660	-	-	-
Q95604	Q9JHE3	-	-	-
Q6UXH8	O88967	P54275	Q0P5G5	E2QTA0
Q9BXI9	Q80VW5	P62948	Q2HJ67	E2RIG8
Q7Z628	Q78IK4	P60881	F1MNR6	J9NTS2
Q96GX2	S4R1L6	P47853	F1N3S7	J9P0C3
Q8NEG7	O54901	D3ZHV1	Q29414	F1P928
Q8N1C3	E0CYM8	Q64591	F1MJI0	-
E9PLD3	Q9R0G6	D3ZIG2	P03924	F6XRM5
B3KT93	D3YZP6	D4A5M2	F1ME36	P58027
P11168	A0A1B0GSU0	A0A0G2K278	A8NIA8	Q00589
Q9UHL0	Q9D176	A0A0G2KB96	A7YY71	F1PWY2
P53794	Q3T9V8	Q9ER34	E1BDP0	E2QZF5
Q9H7T3	B1AR13	-	-	-
Q5VTM2	Q8BPR2	D4A9N8	P15783	E2R089
Q96MC4	Q5SUE8	A0A0G2QC36	A7YY70	J9NZU4
Q4ZG72	Q9DBD2	Q66H23	A5PJF6	J9NY98
Q96KN4	P47753	P0C0K7	Q0VC33	F1PP51
O94772	Q8CEC4	P63039	Q5EA79	J9NYF3
Q86VZ5	Q9ESG4	D3Z952	E1BE90	E2RP67
Q9NRG7	P30415	Q6AXN8	A8E644	E2RDZ8
Q9C0D0	P13634	F1M9F2	E1BCM2	E2R1D1
O60522	Q03172	P70625	G3MYD9	J9NRJ7
P35346	P14206	Q9ERC5	Q17QH1	F6X4P9
Q63HK3	Q9CPS8	Q66HF3	F1MMA6	F1P659
Q14CN4	Q6P8X6	P63322	G3N182	F1PTW9
A0A0S2Z5Z9	E0CYE9	Q3T1J2	F1MTF0	F1PNC6
O15037	Q5NCF2	Q5BK85	F1MXB1	J9P2K2
O00570	P50571	A0A140TAE2	A5D7R9	E2QU52
Q5JTB6	P09079	D4ACU2	F1MJA9	E2RKQ8
Q6ZNJ8	Q6TKP2	P18090	A7Z065	F6Y4M4
P56597	Q8R1K4	M0R7M4	F1MRS4	E2RRP1
Q96IM9	Q8BH10	Q2TGJ0	F1MQ89	F1PGC7
Q8NFP4	P30993	Q06496	A5D7J4	F1PMQ5
Q8NG68	Q8C0F9	Q4V882	E1BDG0	E2RN25
Q2T9L4	O35652	O54772	F1MZD4	F1PLX4
O95388	P62965	G3V970	E1BA62	F1P9A0
Q92546	Q8BUV6	P12527	Q2KI62	J9P2Z5
Q8NGW1	Q5FWI2	F1M5N2	F1MUS0	J9NS88
B4DGR3	Q9CZX2	P23574	F1MWG7	F1PGZ6
P45381	E9PZ87	M0RAI9	E1B957	F1PVT9
Q8IXH6	G5E852	Q9JJH5	F1MIR0	F1PAT4
Q8TCW7	O08756	D3ZIC2	G3N106	E2QZS2
Q7Z442	Q4ACU6	Q923S2	Q1RMW0	F1PVJ7
Q9H376	Q8R5C8	G3V8R7	A4FV63	J9NUG2
Q96GL3	Q8VEE1	A0A0G2JU13	F1MQ37	E2REU9
Q03591	Q9D0K1	-	-	-
Q15735	Q9WV89	B2GV52	A7MBG0	E2RN05
P41586	Q8BHW5	D3ZZE0	G5E534	J9P802
P25189	P00375	F1M5T3	P79331	E2RSR1
O94810	Q8VCE1	Q63132	C5NU11	F1PEL4
P56915	Q5DTP7	P52188	A7MBB6	E2R9Y3
Q8WU39	P70298	Q4G017	Q3T0K8	J9P0B3
Q9HCJ1	Q9R0C0	Q9EPJ1	Q3T0T7	F1PBI4
Q6PYX1	Q60925	F1M446	F1MRD5	F1PUX9
Q6GPH4	Q3UZZ4	D3ZJQ5	-	-
A4FU49	Q6LEM2	D4A503	F1N2U3	F1PG60
Q6P671	P97390	Q9QYU3	E1BPL6	J9P8R5
Q9BRQ3	Q99M71	A0A0A0MY07	Q5E980	E2QSN3
Q9H772	Q2EY15	G3V9W0	P07353	J9P918
Q08AL9	Q9DBF1	M0R7S5	E1BER4	F1PCA7
Q9UG22	Q9CQX4	-	-	-
Q8N4L4	O35188	Q5BJT6	A6QNS3	E2R485
Q6UWI4	Q80TN5	D4A3J3	A7Z018	J9NSQ5
Q969S6	Q812A5	P70552	A6QP91	E2QUM4
H0YAA0	Q99JM0	D3Z9I4	Q5EA29	E2RJA8
Q86XT4	Q80UW5	Q63118	G8JKX6	F1PT39
Q5TBC7	O35711	P07335	-	-
O75473	A2AKQ0	Q08850	E1BFI1	E2R979
Q9Y231	A0A0R4J0W6	D3ZA21	A0JNP7	F1Q3L8
Q9NYT0	Q9D1K2	F1M7C0	E1B6X6	F1PTA4
Q9UDX3	Q05BQ1	A0A0G2JVC2	F1MSL8	E2R9H2
Q8IV31	Q3UG98	D3ZZP2	Q5EAC5	J9P4G7
Q6ZVD7	Q8BHG9	B2RYJ2	F1MX00	J9NXL7
Q0IIM8	Q9JM98	Q6EV70	E1BMG2	E2R4R2
Q7Z4T8	D6RD06	A0A0G2K6I6	-	-
Q6I9S2	Q8CHC8	F6Q5K7	F1MQD7	E2RCB1
Q9UBP8	Q8BFV2	Q8K1M7	Q0P565	E2RDL9
Q9H205	P01872	A0A0G2K889	-	-
Q7Z7K0	Q6NZM9	G3V6B7	Q2TBK2	F1PMJ2
Q01718	A0A087WSK7	Q5RJN7	F1N2L5	F6V7Y8
Q5TYW2	E9Q6Y8	A0A0G2K606	F1N0Z1	J9P1U4
Q9BXI3	Q05AH3	Q66H61	E1BAX1	F1PFN1
Q6UXT9	Q80Z64	P63278	E1B7R3	F1PNY7
A1L443	B0V2N1	Q6IFV5	E1BJI9	E2QV61
Q86UC2	Q9CZY3	D3ZL50	F1MLH9	Q28278
P30481	Q3U481	D4ADF6	E1BLF5	F1P6Y3
A0A0S2Z615	Q91X69	Q62755	F1MLE5	F6XD56
Q9NPC7	Q5DTI6	Q8R431	Q17QL7	E2RQ96
Q99705	O70172	A4GTP4	F1MV63	F1PWJ5
Q9UBD0	Q62241	Q62761	Q5E9J3	F1PAZ8
A0A0B4J220	Q8VIG3	Q66H35	F1MRL6	F1PME4
Q70Z44	A0A0R4J0M4	Q925Q9	E1BJL9	E2QY39
A8MYJ7	Q91ZS8	A0A0G2K3Q3	E1BEE6	J9P782
Q7Z307	Q7TN16	G3V8D7	F6R6Q1	F1PKE7
B3KXG1	A0A0G2JEP4	Q6AXU7	E1B9W9	F1P6V8
Q9UNZ5	Q9D6X6	Q5PQL8	Q1JP63	F1PPR1
Q16877	Q9CR46	P15063	Q0IIK4	F6X9L9
Q3YBA8	Q8VHN7	Q00969	Q1JQC0	J9P438
P43007	G3UZ30	G3V689	F1MC26	E2QZQ1
Q6TDP4	Q9Z0G2	F1LNG8	F1MSW8	F1P890
Q8N274	Q8C7R7	P04916	F1MMX1	E2RBG1
Q15431	Q9CQ85	A8QIC3	F1MCK5	F1PVL8
O95424	Q9DAV6	-	-	-
Q92823	Q8BUN5	D3Z8D8	F1MZ92	A0A0A0MPD4
F4ZW66	Q9QZ59	B0LPN4	F1MXD0	E2R7Q3
Q8WWP7	P30549	-	-	-
Q13113	G5E814	G3V756	Q0VBZ5	F1Q2N8
Q96QZ0	P50516	Q63187	-	-
Q96DR5	P03953	B2BKY8	F1N232	E2RB20
Q499Z4	Q99JJ1	P05179	Q3ZBK4	E2QUX9
Q7Z4G2	Q99PU5	D4A2B7	Q3ZBE5	P62822
A0A0S2Z4D7	Q9D1G0	D4ACR7	G3X686	F1PFV0
Q8TDR3	Q61739	G3V6P4	Q05B71	F1P8S5
A9CP04	Q80XI6	D3ZYG0	A2VDK5	F1Q2L0
O15427	Q60720	P05708	F1MFD9	-
Q969V1	Q9D6J4	Q925D6	F1N3G9	F1PA95
A8K979	Q80YD1	B2RYF1	Z4YH78	-
P09848	A0A0R4J288	A0A0G2QC17	-	-
Q68DY1	E9Q2S7	P28473	F1MLN4	F1PGZ2
P04808	P70460	D3ZI66	F1MH48	F1PLU5
Q9Y5F7	O88942	M0R7Q8	Q2KJ32	F1PIA7
Q5T4H9	Q9DCC3	Q5I0N4	F1MNW1	E2R9G2
Q6YI46	Q8K4L3	B2RZ79	Q2TBH5	E2RRL7
O15480	A0A0R4IZX2	F1LPK1	E1B9H3	E2R0D1
Q9ULC0	Q9CQ33	Q80Z36	G3MZ03	F1PMK8
O75600	Q9D7I5	D3ZXW4	F1MUR2	E2R9Q1
Q9BYE9	Q8BYB9	Q5XI69	E1BGB1	F1PJE7
Q8TD46	F6RG10	D4A7X5	Q1RMX7	E2R8J1
P84089	P54103	Q68G14	F1MMB2	E2RIW4
Q7Z388	Q5YD48	B5DEH3	E1B714	E2RMY0
Q9NUN7	Q8VIG0	-	-	-
Q6P3W2	Q8BJD1	Q7TP48	G3MX35	F1PIX8
Q7L553	Q8BX07	D4AEJ6	-	-
Q01668	G3X970	D4A518	-	-
Q12908	Q8C6M1	P04638	F1N3A5	E2RQF8
B2RXH8	Q8C907	F1LUD9	F1N779	E2QX33
Q6BCY4	Q3UW41	D4A2C1	G3MZW5	F1PRV8
Q8TDX5	Q9D826	G3V696	E1BK08	J9P4Z8
Q9H7P6	Q8BHJ9	F1LW70	F1N110	E2RQ04
Q7L1H2	O89033	D4AD29	F1MSA1	E2RLX8
P07202	Q7TSV0	Q6Q0N0	E1B835	E2RKJ9
Q96K75	Q9DBB1	D3ZQX4	E1BDR2	J9P1X2
Q59E89	Q60952	Q6P6Q6	F1N2Z0	E2RDD2
Q6IPX3	A0A0R4J133	D3ZUQ8	Q2KIH8	F1PMK1
Q9Y651	Q99NH2	Q5PPL0	F1MYV8	J9NS99
B4DGN8	Q8CIT0	F1LRA6	G3MZC5	F1PMI7
Q9BQ51	O09159	D3Z9B7	Q2T9Q1	J9P9B3
Q9NS28	Q8K4Z2	A2VCW5	F1N0H5	E2RD27
Q5VIY5	P61255	-	-	-
Q8N109	A0A1L1SSC7	Q9JHE5	F1N3C4	F1PLB5
Q9H669	Q8JZP9	A0A0G2JTK0	A6QP81	F6Y4B9
P56856	O08919	Q5RJP6	E1BGE5	E2RDX6
Q9H707	Q7TNE3	P00159	G5E598	F1PC36
Q8IYD9	Q6PAL8	A0A0G2K1L0	-	-
A2RU49	Q80TF3	P0C6P7	Q2M2S2	F1PKR0
Q8N9V2	Q922J9	Q5BJX1	A5PJL8	J9NY97
Q9UKJ0	Q6X786	F1LVA5	-	-
Q6ZRT6	Q8C6G3	Q7TP63	E1BHU6	E2RN29
Q8N8G6	Q05186	Q9QYJ2	F1N3P0	E2RGC2
Q13795	A3KG59	E9PSL7	A4IFI6	F1PE00
Q8IWG5	Q3UGS4	-	-	-
Q86Z14	Q6T264	D3ZRJ3	A5D7E6	J9NTS6
A0A0S2Z4F2	O70460	F1LNK2	F1MQU5	E2QW81
O95237	Q9CQS4	M0R3Z4	Q3SWY9	E2RGK1
Q9HA77	Q9QXP7	D4A520	Q1JPF1	E2RNQ2
Q8N3F0	Q9ES97	D4AC97	A6QLA9	F6Y4B1
O95867	A0A0R4J1H2	Q499V7	Q17QQ6	E2RED9
Q9XRX5	Q62452	P70611	F1MYH0	F1PH47
P63164	Q8BFQ9	M0RBV7	F1N1H1	E2RC14
Q9NYP3	Q8K2C8	Q9ES54	A5PJ82	Q9GKP2
Q9Y5G4	Q3UK75	P35171	Q2T9S4	E2RT23
Q96LW1	Q8VD12	P84092	F1MMN6	E2R1S5
P49238	Q3U432	A0A0G2K6R8	E1BNM5	E2RRP3
O95049	Q8BH55	A0A0G2K2K7	A5PJG2	F1PNH6
Q9BXH1	Q8BNV1	D3ZSX8	F1N708	F1PIC3
Q8WX98	O35491	F1LPN6	Q58D00	A5H7G8
Q8NEY0	Q2WF71	Q4QQU9	F1N1T1	F6UTN8
Q9HCB6	Q9EQH2	P56603	Q32LN7	E2RG99
Q7L9D0	Q9Z1N9	D3ZQK4	Q0II86	J9NZ15
Q68D51	A2AUC9	D3ZAQ1	P82920	F6Y5X3
Q5TAP6	Q61702	Q7TP98	A6QQJ2	E2RQX3
Q15847	Q91XQ6	P21807	F1MYK3	-
A6NIM6	Q8BGN6	-	-	-
O00631	Q9WV93	G3V9L7	E1BFS7	E2QTV7
Q6P602	O35739	D4A197	Q32KT0	E2RF91
Q10981	Q9DAV9	P41740	F1ML50	E2R4J1
O75638	Q8R060	-	-	-
P58401	Q9Z237	-	-	-
H3BPM6	Q6J1H4	A0A0G2K9F5	E1BB92	F1PGR8
Q9Y2S6	Q8K2A6	F1LNJ1	A7MBH4	Q5TJF3
Q14117	Q9CWM4	D3ZV46	-	-
Q7Z769	Q9QXD8	P06685	E1BFF4	E2QVT0
Q8IX82	Q923D2	B5DEZ8	-	-
Q92563	Q922K6	G3V6Z4	Q2KHT8	F1PQ66
O75346	P03921	-	-	-
A7E2F4	P18337	F1M2K0	E1B7E6	J9P990
P12104	Q80U56	P70549	Q2KHZ0	O77746
P18464	Q91ZW2	P12760	O62827	E2R1T1
B3KPL7	Q8R4F0	Q4G2Y1	E1BHZ5	E2RGD9
O60806	E9Q9D5	Q6AYI8	Q3T0V3	E2RIH2
Q8NE22	Q9JM63	Q641X8	F1MRU1	F1P6W7
Q9NSA2	A2RT81	D4A4P4	F1MU39	-
Q9NZI2	Q7TQK1	Q6IUR5	-	-
Q9NXB9	Q9R071	D3ZAE2	A6QQR4	E2QU89
Q9BS75	Q3TD35	P02401	E1BFF2	E2RS44
Q8NA82	Q3V129	Q9Z2G8	Q2KI99	E2RB50
Q9ULI0	O08967	D4A2E3	-	-
Q9UPR6	E9Q6E9	F1M805	-	-
Q8TDY8	Q9R0A1	P84083	F1MIW7	E2R5N7
Q13686	Q91XB7	D3ZK81	Q08DK7	F1PU40
Q13069	P70122	D3ZH30	F1N3P5	E2RQ60
Q6UXZ3	Q8R238	G3V7D8	A7YWC6	E2QU64
Q9H6P5	O35744	D3ZG83	E1BK60	H9GWC5
Q99645	Q3V157	Q5M7T4	Q2KIJ1	F1PS18
Q9UIL4	O35492	Q66H80	E1B8M0	E2R7P3
P47893	E9PZI6	H1UBN0	F1MWR6	J9P7W8
A8K4G0	Q9Z2M7	P24528	A6QQA3	J9NRS9
Q8NE00	Q9JI75	-	-	-
Q8WW36	P52760	G3V6G6	-	-
A2A288	Q5D1E7	Q811S9	-	-
Q5TGY1	Q9R016	-	-	-
Q9NS84	P15209	Q5XI96	-	-
Q6V1P9	Q8K2L8	Q6R2R3	F1MBU2	E2QUB2
A0A024R0L9	Q9D4C1	Q9Z1W6	A6QPI2	J9P4X1
Q9BV19	Q78Y63	P01244	Q7SIB2	J9NSE6
A8MT65	P19426	D3ZJ81	E1BM02	E2RC53
Q9BXP8	O08523	Q63454	F1MES9	F1PV66
Q8NEA5	S4R2L6	D3ZKH6	Q58DR0	F1PK79
P0C2L3	Q5BN45	-	-	-
A0S2M1	Q61166	Q5XIK6	A6QLD7	P42161
Q9BXD5	B2RXE2	A0A0G2K8D1	F1MGR6	P62490
Q13068	Q91VJ5	A0A0H2UHC3	F1MTR5	F1PAP1
A6NLC5	Q3U4P5	Q6AYA7	F1MWN0	E2R4N0
Q6UWN5	B1ASP2	D3ZRM2	Q2KJ43	F1Q3I7
Q8IZK4	Q8CAS9	Q2IBD1	P28088	E2RPM5
Q96AQ7	Q9CZ44	Q05140	F1MPV2	E2RGD5
B2R4D8	P53690	P21674	F1MZH1	F1PYL6
Q96RN1	Q99KC7	-	-	-
Q6WRX3	Q8JZV4	D3ZN27	E1BDC4	F1P9R6
Q9Y614	P86792	G3V7B1	Q9TTR7	E2RJ38
Q9ULC8	Q9CQD6	A0A0G2K9F8	A6QPB3	E2RAA9
B2RNN3	Q6PDE7	-	-	-
Q9Y5X0	P70390	P62966	Q32L67	J9P829
P62262	Q9Z2S7	P49242	F1N065	F1Q2E6
Q9NRX6	P48540	A0A096MK04	-	-
Q9Y3S2	Q3UZA1	P70470	G3MX56	F1PJN4
Q52WX2	A0A1L1SQ51	P19999	Q28141	F1Q279
M0R2C6	Q9R0N4	D3ZN41	A6QLE1	E2RKA1
P24557	Q9EQC8	-	-	-
O60235	Q9ERK7	F7EPH4	F1MNP2	J9P4H0
Q7Z2Z1	P60898	Q63016	Q1LZE5	J9P2G7
Q86XS5	Q8K3K7	D3ZRI9	F1MSD7	J9P5W6
Q4LE58	P0DOV2	F1LPP8	Q0VCV8	F1PY41
P51582	Q7TT42	M0RAP6	E1BMF4	E2QXK1
Q8N184	Q9DD16	F7F163	E1BB08	E2R8P1
Q8IY49	B1ASL3	G3V7U6	F1N429	J9NXK5
Q7Z4W8	E9QQ26	A0A0G2JX92	F1N4F7	F1PIG2
Q9NPV4	Q3ULD5	-	-	-
Q9P0G3	Q7TNS2	E9PT53	Q3Y598	E2RCR8
M0QYT0	F6S7W6	Q06486	F1N076	E2QYK9
A8K4B4	B1AZP2	D3ZMX5	F1MFG2	F1P967
Q02094	Q9WUI1	O08984	Q32L30	-
Q8NC01	A2A6A1	F1MA98	E1BI32	E2QW79
Q9BXY4	Q99K30	Q5XI77	F1MMW7	F1PHL7
P63150	P47743	E9PST5	F1MS23	E2RKV2
Q6GPI1	Q7TQH0	B5DFJ6	F1MU24	E2QUW7
Q2KHR2	P97449	Q68FS3	A6QP30	E2RMW1
Q8N9W8	Q9Z320	G3V7G2	F1N6T1	J9PBA7
Q8N0W3	Q8R050	Q9JJP0	-	-
P49961	A2ABU4	A0A0G2JZL6	F1MJB0	E2QVP2
Q9H8M1	Q99JA0	D3ZMK6	Q3T0V9	F1PPH7
Q9UMX3	E9QK89	O55158	F1N2J4	J9P4P2
Q5T2D3	Q8VHV1	A0A0H2UHB3	Q2KIV0	J9NSL7
Q75LP0	O88441	Q62921	F1MY23	F1Q4G7
P49683	Q8BVT3	Q71SY3	Q3SZB8	J9JHB3
P50120	B1ATV3	-	-	-
P27469	Q8C5R8	B2GV31	-	-
P14207	P09103	D3ZH74	F1N238	E2RRG9
Q15761	Q99P69	Q5PQW4	A7MB36	F1PZC8
P04090	Q8C9V6	M0RA85	P33946	F1P9V5
P57738	E9Q1D4	A0A0G2JSK0	F1MGV0	E2QWK2
Q8TBR7	P12804	D4A5H0	F1MCS4	E2R4Z2
Q9H4G1	Q8C762	P12390	E1BDB5	F1P9T1
I6L996	P35585	B3STU3	Q0IIA6	J9P991
Q96IG2	Q9DB94	F1M7L6	-	-
Q7RTY5	Q8BI55	D3ZHU3	G3MYJ1	E2RCX7
Q9UNU6	Q8CDM4	B1WC75	A6QPW2	J9P005
Q9H6H2	Q9CSH0	A0A0G2K0X1	E1BDN8	E2RP25
Q9BSE4	Q6GQT6	A0A0G2K0J7	Q0P5M9	F1PU41
Q9BYG0	A1L333	F1M597	F1N4J1	E2RRK3
Q99712	Q9D1J2	D3ZR43	F1MX26	E2RNF2
P30954	P15307	F1LXR9	B0JYP2	E2RJ41
Q96PP4	Q9CRB6	B5DEJ9	Q3SZM7	P18067
O60359	Q9DBL1	F1MAM1	F1N6Q0	E2RBX4
Q5ZEZ6	Z4YJP0	D4ACC5	F1MV74	F1PFY2
A6NNL5	P49919	O35876	A6QM03	-
Q8N3J3	Q5DW34	G3V966	Q8WMP9	F1PFV7
Q9H7V2	A2AVZ9	A0A0G2K7Y5	A7MB51	J9NSB6
Q8NG75	Q3TJ91	A0A0G2JT06	F1N1D6	E2RNN8
O60224	Q9ERS5	B0BMZ4	E1BMR0	F1PSR2
P17030	O54784	Q5QD51	-	-
Q9UKL6	O88492	F1LSR7	E1BM12	J9NZ07
Q9BZD2	Q80TS5	P62832	F1MFS1	F1PMV8
Q8IWG1	Q61093	G3V7I6	Q08DX6	F1Q0N5
O43497	A0A140LI28	P53563	Q3SZX0	E2RG07
Q86V20	Q8CB67	-	-	-
Q9UKN7	Q6VY05	Q5XIA0	E1BB26	E2RSC2
Q504Y3	P14434	D3ZWG2	F1MWT5	J9NZE9
O76087	Q8CEF8	Q8BFS3	Q8SQG8	J9P242
Q14003	Q924B0	Q9JKA8	E1BDP6	E2RJ88
Q8N268	Q8CD76	D4A8F2	G3X7V3	E2RAC5
P07358	Q7TPD2	G3V828	-	-
Q96IR2	Q8CFY5	Q4KLM4	A6QLC5	F1PD91
Q717R9	Q99LJ8	Q4KLH4	F1MFS5	E2QWJ8
O15484	Q8BYZ1	P04466	E1B906	F6ULX5
Q96PX8	Q8JZQ2	Q2YDV1	Q17QP9	F1P981
P0C870	Q60629	P23347	G3MWS4	F1P6B8
Q86W24	Q8BHN0	F1LQZ2	E1BD76	E2QWX9
Q9UH36	A2AUU0	Q5GH60	A4FUY0	F1PXG1
Q8TBB0	Q9D1D6	-	-	-
Q96A25	P97474	A0A0G2K7K7	A2VDM0	E2RPH3
P51164	P17095	F2Z3R8	F1MTH1	E2RBV3
Q7Z606	Q922H9	Q5U3Y7	F1N0F2	E2RQL3
Q9BZA7	P46660	A0A0G2KAX1	F1MKT3	E2RR44
Q9Y6I8	Q6AW69	Q6AYL5	A0JND2	E2RPQ0
P49221	A2AB59	Q9QZV8	A6QP99	A1DZY5
Q8NEQ6	Q08EJ0	D3ZXB3	Q0P5G7	F1PWM7
Q86XP0	Q60976	D3ZTE0	E1BQ16	L7N0E0
Q8TAB3	Q6P5H6	D3ZMP9	F1MCV2	F1P9C1
Q8NDH2	Q7TQI0	A0A0G2K564	E1BGS8	E2RSJ0
P0DP57	E9Q8T2	G3V7K1	E1BK17	E2RDR9
Q86X53	B2RVY9	Q5QT56	G3N1Q7	Q5XNS0
Q8TB40	Q9JHI8	Q4KM68	Q3ZBF2	J9P1F9
P05981	Q9DCT5	Q5RK25	Q2HJF5	-
Q9HDD0	Q8R059	A0A0G2K664	E1BNV4	F1PN11
Q2KHT3	Q8K1E6	D3ZW55	A6QPF8	E2R1K9
A8MUK1	Q9WUQ2	B0BN51	Q3SYX4	E2RMI1
V9HW53	P39428	P16409	A4IFN7	J9NZ55
Q71RS6	E9QQ17	F1LW07	Q0VCT5	J9NUK8
P47874	P70312	D3ZMR0	E1B9U5	J9P236
Q8NI99	Q8VHG0	P30277	E1BGM0	E2RHJ8
Q8TCD6	B5X0E4	A0A0A0MXY5	G3MX47	E2R7U1
Q8N4M1	Q91VR2	B0BNM8	G3MYV6	E2R3Z9
Q5M8T2	Q91XT6	A0A0G2JSQ3	F1N1Y7	J9P8P8
Q9NUP7	Q8BWL5	D3ZQG6	A1A4M4	F1PJB2
Q86UN2	Q8C0Q3	F1LPL9	A1L521	E2R0W7
P01859	Q9D0D5	P62950	E1BGX4	E2RSV7
O15499	P36916	Q76KC5	F1MRA0	E2RDQ5
Q8NEV9	Q9D1B9	G3V9K0	Q148L6	F1PWL0
Q86SP6	Q9QZM9	F7FH17	F1MXC3	F6Y102
Q9NTN3	Q8K1J6	-	-	-
O60844	Q8QZV4	F1M9G8	F1MW27	E2QUI0
Q96L96	Q6P8G8	D4A3I6	O41515	F1PPD0
Q86WI5	Q9JIY5	B2RYS6	F1MMT4	F1PVI3
P09919	Q3UMG5	G3V629	A0JN36	F1Q1A8
A2RRC9	O09111	D3Z8Q7	E1BM37	F1Q2J2
Q8NI28	P97358	-	-	-
P02810	Q9ERZ3	D3ZXP1	F1MPX1	E2RSG1
Q8WXG8	Q60864	D3ZV60	P55918	F1PKR2
Q5EBL2	Q8BWN8	Q9R1E9	E1BKC2	E2RFJ3
O60535	Q91YL3	Q6XQG8	Q5E9U1	J9P958
Q96LA6	A9XX86	O08774	A7YWG4	E2R805
P18065	P22682	Q9JMJ4	Q3ZBK7	F1PR67
Q9H5W7	B2RUQ2	Q9Z2A6	F1MYI6	F1PPE0
Q17R31	Q99M31	P51579	-	-
Q0VAC0	Q3UEL9	A0A0G2K4S7	V6F7N8	J9NYP6
Q96EY9	P47746	P18910	F1MY95	E2RH41
Q8N7G1	Q5M9P3	D3ZEF9	Q5MD61	E2QUD6
Q9BX93	A0A286YCY4	M0RA58	E1BKC9	E2R240
Q9BSR4	Q810F8	P30120	Q05KI7	E2RE13
Q15928	F8WGW3	D3ZXS4	Q0VD50	F1PGU2
Q8TF61	A0A0R4J117	Q5U2T9	F1MQD6	E2RFP5
Q9ULD9	Q9R049	Q6P7B0	F1MZ60	F1Q189
Q96SK3	Q91WD9	Q76IJ9	F1MHG2	E2R1G1
Q8TE01	P70445	D3ZF49	E1B9B2	E2RJ95
Q8N660	G3X9K3	A0A0G2JYP9	F1N1T3	F1P8J8
Q96GB0	P01851	D3ZA66	F1MKU9	E2RET7
Q86W26	O70477	D4A4X6	Q2KJ71	F1PYK2
Q9BVM4	Q9D7B2	B1H246	E1B9M6	E2QYL1
Q8IZ08	Q923D1	Q5BJV7	F1N4D3	E2QXU8
