O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
Q59EG8	Q91YI1	-	-	-
Q9NQW5	Q5U4E0	D3ZPN0	Q0P5L7	E2R3G4
Q5EBL4	Q8R100	Q68FX9	F1MXZ5	E2RFE7
Q9Y4B3	P97401	Q64165	Q0P5E8	Q2A652
B4DRD7	Q9D7Q1	D3ZJC0	Q2HJJ1	F1PAZ2
O60760	E9PVN3	Q5PQV1	F1MHM1	J9P854
Q9NXI0	P68500	D4A5Z0	Q3ZBC2	E2QRY7
Q9UJL9	Q99PI5	D3Z8R0	F1MI39	J9NXW4
Q6PI26	A0A0G2JEA5	P42260	F1MK41	E2R481
I3L0A0	A0A0R4J0B9	Q9JI61	A7MBI3	J9NYB5
Q9BS86	Q80WM5	O88382	F1MRH8	J9P870
Q86VQ3	P60603	A0A0G2JT15	F1MNS0	F1PBG0
Q9NYW2	G3X8W6	P20236	Q2T9Z2	E2R141
Q8N9W4	A2ADF7	Q8R455	E1BF42	E2RCA8
Q96L53	A0A0R4J067	A1KQY6	Q2T9M8	E2RPG6
Q6PJE2	Q9JKC6	Q2TGK5	Q5EA65	F1P7J4
Q8NAX2	Q3U5F4	F1M280	E1BHJ5	J9P4H7
Q8WXD0	P56212	O35761	F1MKG3	F1PSS7
Q8IU89	Q8VDK4	F1M1E4	Q32PD0	J9NSL7
B2R8Z8	G5E856	-	-	-
Q86TT2	O70291	O89046	E1BIH0	E2RAN1
Q96LB2	Q8C0E5	G3V7D9	F1N019	F1PQ22
Q59EM9	Q5RKR3	P34080	Q0VCI8	E2QUA0
Q9Y421	Q99K60	F1LN03	F1N231	F1PAS5
Q5U4P2	Q149S1	Q66HG7	Q32LB7	Q95165
A6NIR3	Q64374	F1LWQ2	Q08DH0	P38400
P46091	Q8BIQ7	G3V7S0	E1BJS8	F1PBZ5
Q96TE0	P49772	-	-	-
P34981	Q9D0K1	D3ZEM6	F1MIZ2	E2RTB3
Q9UBT3	Q62190	Q6AY56	F1MX05	F1P834
Q6GZ88	Q52KG3	D4A6M8	E1BGY3	J9P5W0
P58549	Q9CQ84	-	-	-
Q8WX94	Q8BTC1	P51974	F1MUT8	E2R473
P05305	I7HPW4	-	-	-
A0A0S2Z5I3	Q8C8M1	F1LRY0	E1BL26	E2RT83
Q9BQT9	A2AJA9	M0RBY6	F1MME3	F1PMY1
Q8IZV5	P62892	P25122	A6QLC5	E2RIE0
Q16083	Q05685	D4A2I9	A8QQF2	E2R3V3
P59826	Q9JIF3	-	-	-
Q9UMF0	Q3TES0	P48548	F1MHG1	J9NXR5
Q9NVL1	Q99MX0	D4A9U4	E1BMQ3	E2QZQ1
P31997	Q8BQQ1	D3ZTU7	G3MZ53	J9P996
Q13103	P01746	Q7TP24	F1MWN9	J9NS01
Q96I30	P59268	Q5EAJ6	-	-
Q6IN51	Q9R182	D4A903	F1MSL9	J9NXE1
P51580	Q9CPV3	D3ZRE7	Q32LH1	F1PML1
A4D1B5	Q91WW6	A0A0G2K213	E1BC23	E2R4F6
O15403	Q8BMP6	P50430	A2VE15	E2RLJ4
Q9Y5Y5	O88968	Q6I8Q6	Q2NL00	E2R9T4
A2RUR9	J3QPP8	Q6MG20	A2VDZ9	E2QXS6
A0M8Q9	P48772	P97675	F1ML80	E2RJ91
Q13822	Q9D0U6	Q3B8P2	-	-
A8K900	Q9DB96	G3V9C5	E1B7E6	E2QXM6
Q96RW7	Q9CQI6	A0A0G2K862	Q3ZBI0	F1PM25
Q9H611	Q8BTH8	Q6AYQ9	Q5E9A1	J9P565
A6NK53	Q62504	Q9JKE3	A3KMX1	J9P1Z0
Q9Y2P0	Q9JJL9	A0JPP6	E1BIX7	E2R0B0
Q9BZJ8	O70576	D4ADK7	E1B9L6	E2RS39
Q8N1N5	Q9JL60	-	-	-
Q96Q04	Q80XC2	D4ABP9	E1BPZ1	F1PZC8
Q96HH4	Q99ML8	D3ZCM4	F1MER6	E2RE25
Q9P1T7	Q9D6U8	G3V7I3	A3KN27	F1PS29
Q8NG95	Q6PDN3	F1LPC5	F6RPW2	J9JHX8
Q15782	Q8BMD8	B2RYM4	F1MKZ3	E2R6X6
Q9NUI1	Q3U6B2	A0A0G2JX33	A6QPA0	-
H0Y8D1	Q6IMP4	G3V8S3	E1B7T3	F6XZH6
Q8N319	Q9CWV6	-	-	-
Q2TAC6	Q5F4T0	F1M3A0	P22571	E2R0W7
Q9BQI9	Q8CGR5	Q569B5	A5PKD3	F1PPM1
Q9UFQ0	Q9WUF2	Q6AYD6	Q08DT3	Q30KS7
Q7Z3D6	Q8K0A8	G3V7Q2	E1BAI1	J9P250
A6NHX0	Q9D771	O08816	Q3ZBE5	F1PIA7
Q04743	Q8K124	A0A0G2K8C5	F1N7C2	F1P7I2
Q9UK13	Q3UZZ4	A0A0G2K505	E1BCC3	E0WCW8
Q8IV16	Q9CR48	-	-	-
O43915	Q9Z2H1	-	-	-
Q5BKX6	Q924S7	A0A0G2K9Q7	-	-
O95452	Q3TY32	A0A140TAF1	Q5BIR8	J9P8N1
Q9Y225	A0A0R4J181	A0A0G2JT85	-	-
A2RUS2	Q80VW7	D0V9T4	F1MQ74	F1PIG2
Q7Z2Y5	Q91V16	B0BNK4	A6QR22	F1P681
Q96JA3	Q61115	D4A3Z4	F1MBH0	F6PLF2
Q8WWH4	Q0KK56	-	-	-
Q8N5Q5	Q8VCI7	F1LPF7	E1BK44	E2RQM9
Q95604	E9PX92	D3ZRE6	A4IFK5	E2RDZ0
Q6UXH8	Q8CF98	D3ZWB4	A5D9H3	F1PAB5
Q9BXI9	Q64445	P23574	F1ML56	F1PUB2
Q7Z628	Q9QZZ4	Q4V7B4	E1BJT7	J9P898
Q96GX2	B2RXQ2	D3ZK53	A7MB21	F1PU32
Q8NEG7	Q9QXF8	G3V8Q8	A6QQJ3	E2RK78
Q8N1C3	Q9R1V4	Q71MM7	A0A140T852	J9P8L3
E9PLD3	Q923A2	D4A175	Q1LZC9	-
B3KT93	Q8BWF2	Q569A3	F1N188	F1P6T5
P11168	Q9DC33	D4A877	F1MQ90	F1PTQ6
Q9UHL0	Q9JJU9	A0A0G2JX71	F1ML13	E2RF53
P53794	Q8BKU8	-	-	-
Q9H7T3	A0A0R4J0B2	Q66HD6	F1MP35	L7N0C9
Q5VTM2	Q8K0V2	Q68FQ4	A6QLY0	Q28250
Q96MC4	Q9ESC8	B0BN28	E1BPH8	J9P922
Q4ZG72	Q6PE87	D3ZG81	F1MK01	J9NTG7
Q96KN4	Q9QX99	F1LRH4	A7MBI1	E2QUL1
O94772	P18242	A0A0G2JY48	-	-
Q86VZ5	P97343	D3ZYL2	E1BCU4	E2RCQ5
Q9NRG7	Q8CE90	M0RCR5	P01272	E2RJY7
Q9C0D0	P61967	A0A0G2JTB5	F1MEL7	F1PA44
O60522	P56677	D4A0E6	Q0VBW3	E2RT31
P35346	A0A0B4J1E9	P62074	F1MV04	F1P7Q3
Q63HK3	Q6PCX8	D4ACX0	G5E5K9	E2RAK0
Q14CN4	P97333	A0A0G2K897	Q3SZN0	F1PGN5
A0A0S2Z5Z9	Q3TNA1	P84889	E1BNK5	F1PVY1
O15037	Q8R5F3	-	-	-
O00570	Q9D7L7	A0A0G2KA97	F1MZI0	B9UM26
P23610	Q8K025	Q3V5X8	F1MPK6	J9P484
Q5JTB6	Q3UC65	A0A0G2K695	F1MQ41	F6V482
Q6ZNJ8	Q9JJN1	Q5RKJ1	F1N3A1	F1PPA2
P56597	Q07279	-	-	-
Q96IM9	Q920V1	F1LY63	F1MGT8	E2RAC8
Q8NFP4	Q3TFG3	G3V6M9	E1B7G6	E2QX20
Q8NG68	P28236	P61515	-	-
Q2T9L4	Q07916	-	-	-
O95388	Q6PAQ9	P43144	F1MGZ5	J9PAN6
Q92546	Q8K088	P28042	E1BDG5	J9NX09
Q8NGW1	P98156	Q499U2	Q2KIW1	F1P8F5
Q86XM6	B1ASB6	Q9JLH7	F1MM85	F6Y6M3
B4DGR3	Q8QZR3	A0A140TAI5	E1BMD1	F1PP64
P45381	Q9Z0L3	Q4V7E3	-	-
Q8IXH6	A0A0N4SVL0	A0A0G2JXI4	Q08E31	J9NX28
Q8TCW7	A0A0U1RNN4	O35977	E1BM64	E2RA82
Q7Z442	P70660	D3ZT68	P41985	E2R455
Q9H376	E0CXK8	M0R671	Q32LH8	F1PTW4
Q96GL3	Q8BVP6	Q07205	E1BAJ4	F1PR65
Q03591	D3Z752	-	-	-
Q15735	O35678	A0A140TAB7	Q3ZBT2	E2RJC4
P41586	Q8CHK2	Q63504	Q148E7	F1PVQ1
P25189	Q60610	Q66H58	Q5E9T4	-
O94810	Q9QZV9	D3ZQA6	F1MX12	O77746
P56915	Q99N72	-	-	-
Q8WU39	Q91XA8	G3V8G3	F1MQB9	E2RC75
Q9HCJ1	P08121	-	-	-
Q6PYX1	Q8VEA8	O08701	G5E5X3	J9P6Y0
Q6GPH4	P21271	-	-	-
A4FU49	Q3TEX6	B1WC37	Q1JQA7	J9P1J3
Q6P671	Q9D1D6	F1LY14	F1MX50	F6X539
Q9BRQ3	Q505B7	P04775	-	-
Q9H772	Q62520	A0A0H2UHC8	E1BM96	F1PPU6
Q08AL9	Q3TKB2	M0R934	E1BI29	J9NVS2
Q9UG22	Q8CJ78	Q8CH27	E1B9Y2	F1P8R8
Q8N4L4	Q3UHC0	D4A834	Q3T0U5	F1PSS3
Q6UWI4	A0A0R4J0G3	D4A9G6	F1MTV6	J9P762
Q969S6	P97352	F1M8U2	Q28088	E2RIS8
H0YAA0	Q07968	D3ZZV7	E1BFN6	F1PVM1
Q86XT4	Q8C261	A0A096MJ81	F1MUJ5	F1PKD8
Q5TBC7	P43883	Q66HD0	Q5BLW6	-
O75473	Q9EPW6	M0R5T3	F1MK80	F1PYC1
Q9Y231	Q4LFA9	-	-	-
Q9NYT0	P97812	Q66HM7	A6QP96	E2RED9
Q9UDX3	Q9D8Z6	M0R5U3	F1N7B7	F1PXC6
Q8IV31	P63213	M0RAL0	F1N6J8	E2RHE5
Q6ZVD7	Q80ZU7	D4AD29	F1MI83	E2R8D3
Q0IIM8	P70392	Q5RKG9	E1BGI0	E2RT72
Q7Z4T8	Q8BPX9	P84109	A6QQ84	J9NXC1
Q6I9S2	Q9R0N9	D4A120	A6QPY8	Z4YHF9
Q9UBP8	P50428	M0R5T4	F1MSB4	F1PHX2
Q9H205	O88427	Q6AYN6	E1BDE1	E2RQE5
Q7Z7K0	Q9WU84	G3V6N6	Q32L90	F6V5W3
Q01718	Q6ZQF7	A0A0G2JTZ2	A6QQC6	E2RS61
Q5TYW2	A0A1B0GSR5	O88778	Q2HJF4	F1PNC6
Q9BXI3	Q6NXJ0	D3ZMQ6	A4IFU2	E2RPV0
Q6UXT9	Q8VHQ9	Q4V8C2	F1MTB5	F1PF98
A1L443	P97435	D3ZER2	F1MC25	J9P9B2
Q86UC2	A0A0G2JG58	D3ZSP7	Q1RMU7	F1PSD3
P30481	Q99LP8	D3ZV82	A0A0B4J191	F1P6Y6
A0A0S2Z615	Q6UJY2	Q62962	A0JNK5	F1Q443
Q9NPC7	Q00724	Q6IFV6	E1BIN0	E2RPG3
Q99705	Q91YW3	D4A5W5	F1N2J0	E2R0S2
Q9UBD0	P31695	G3V9Z3	G3N157	F1PXG8
A0A0B4J220	Q9CZH3	-	-	-
Q70Z44	A0A0R4J0C8	Q5XIE5	E1BIL3	J9P6X1
A8MYJ7	Q9DBA8	A0A1B0GWM3	F1N790	E2R8T2
Q7Z307	P70436	Q5BJU0	F1MSL5	E2RFP7
B3KXG1	Q91XE7	D3ZIP2	G3N3U0	J9P094
Q9UNZ5	Q8BGZ8	Q00954	A5PJV8	E2RL15
Q16877	Q5SSI6	Q6BDS1	E1BG99	Q3LSL6
Q3YBA8	Q921D9	Q99P84	F1MJM4	E2RNQ6
P43007	Q8VE88	Q3ZAU5	G3N2U3	F1PIN6
Q6TDP4	E9PYH0	-	-	-
Q8N274	Q8K4T1	F1M9C7	E1BIS1	F1PDA8
Q15431	Q91ZP3	D4A7X5	E1BD44	E2R138
O95424	Q6NVF4	D3ZH76	Q0P598	J9PA85
Q92823	E9Q9Y3	D3ZYM7	Q3SZA9	J9PAB0
F4ZW66	Q4JIM5	-	-	-
Q8WWP7	Q8R0S1	D3ZY01	E1BAA3	F1PN99
Q13113	Q8R5F8	F1M9G3	F1MNA1	F1PQS1
Q96QZ0	Q8BTR5	A0A140TAD8	F1MEB4	F1PP60
Q96DR5	Q3UVD5	Q5XIH4	A6QPQ9	F1P990
Q499Z4	Q8BMI0	Q6B959	E1BIX3	F1Q3K6
Q7Z4G2	Q08331	D3ZRJ3	F1N7T2	F1P9J8
A0A0S2Z4D7	E9Q468	Q5PQK5	A0JNF9	F6XXH4
Q8TDR3	B2RUJ5	G3V7H1	F1MSL3	F1PMP0
A9CP04	A0A0R4J0A8	G3V7D8	F1MX20	E2RES2
Q6IAN1	B1AT33	F1M702	G5E6S3	E2RDL0
O15427	Q8R007	A0A0H2UHK4	F1MQ86	E2QS92
Q969V1	P35459	Q03336	A6QPA1	F1PB50
A8K979	B1AR51	P97590	F1N6Q2	F1PQF2
P09848	Q3UW96	A0A0G2JW23	F1MSI0	F1P955
Q68DY1	Q9DBY1	Q9WUC8	A1L522	E2R020
P04808	H3BKN4	-	-	-
Q9Y5F7	D3YW47	A0A0G2JXC5	G3N030	J9P3P5
Q5T4H9	O88455	M0R9R3	F1MX07	F1PDA9
Q6YI46	Q80U23	D4A7Q3	E1BI33	L7N0B9
O15480	F8VPJ6	D3ZLM8	F1MUY4	E2QU95
Q9ULC0	Q99MS3	-	-	-
O75600	A0A0R4J1C7	Q566Q8	F1N048	F1PGU5
Q9BYE9	O54749	D3ZL04	Q2TBK3	J9PB81
Q8TD46	Q8K1S7	Q9EQX6	A7YWT7	J9NTY5
P84089	O08545	F1M332	A6QPL7	F1PGL1
Q7Z388	Q9CQ20	P18427	A6H6W7	E2RNU9
Q9NUN7	Q9D639	D3Z9R2	Q3ZBZ7	-
Q6P3W2	Q02067	D3Z924	G3X8E7	E2RR30
Q7L553	Q8CDI7	Q9R1J8	E1BM65	F1PVV9
Q01668	Q8BG50	Q4G075	F1MIQ2	F1PYI0
Q12908	A6PWV5	D4AD53	F1MBZ1	F1PLR4
B2RXH8	Q8K4J2	Q9JK79	Q17QI7	F1Q1V7
Q6BCY4	Q6GQT6	Q6AY64	-	-
Q8TDX5	Q9D6N5	-	-	-
Q9H7P6	A2ANC1	Q5I0Q2	A4IFF5	B6VH75
Q7L1H2	Q7TT32	F1LSV1	F1MSM9	E2QXQ3
P07202	Q921L8	Q9ERL1	F1MZ30	E2QU93
Q96K75	P98192	B2RYB8	Q8HYR6	F1PTE3
Q59E89	P47964	Q6AYM1	Q2KJB3	E2RAP3
Q6IPX3	Q9CQS6	F1M6W4	F1MH69	E2RDR4
Q9Y651	Q9DBY4	D3ZK92	F1N0X0	F1P7X3
B4DGN8	Q68FM6	B5DEK0	F1MXL8	E2R261
Q9BQ51	P19788	F1M121	G3N373	F6XE69
Q9NS28	E9PY46	F1M278	A2VEA2	E2RN63
Q5VIY5	Q6VN19	F1LP44	F1MQ30	E2QVE6
Q8N109	Q7TPS3	D3ZV67	F1MSG2	F1PAZ9
Q9H669	P35419	A0A096MK49	E1BHW6	E2RPW3
P56856	Q8BWW4	Q63503	Q5E9U4	F1PS05
Q9H707	Q9D6I7	-	-	-
Q8IYD9	Q3TL26	Q499R4	F1MI24	E2R435
A2RU49	Q03288	F1LX58	G3N2D1	F1PF37
Q8N9V2	Q9D8Y7	-	-	-
Q9UKJ0	O35710	D3ZEJ6	F1MW90	F1P637
Q6ZRT6	E0CZ22	Q63203	F1MCR9	F1P8B5
Q8N8G6	Q61137	Q66HE7	A0JNC1	E2RFE9
Q13795	Q62443	Q8K553	Q6QTH1	P63210
Q8IWG5	P97865	G3V6C0	G3MYD5	E2RF17
Q8WVL7	Q922K7	D4ACD3	-	-
Q86Z14	Q8K596	D4A748	Q0VBZ8	F6UX67
A0A0S2Z4F2	Q6P8K5	P38656	G3MZX4	J9NW25
O95237	Q8BS45	Q5U2T6	A4IFJ2	E2RC33
Q9HA77	Q6NS69	Q811X5	A7MBI8	J9NXH5
Q6P9A1	A0A0R4J033	-	-	-
Q8N3F0	Q8BXZ1	Q68FU3	F1MES6	-
O95867	Q8C0Q2	F1M928	Q08DI1	J9NT12
Q9XRX5	E9PY43	D4A380	Q05B73	F1P7Y1
P63164	P56983	D3ZDW3	Q0VCJ5	F1PRS1
Q9NYP3	Q00977	Q69FB3	E1BCC0	J9JHT0
Q9Y5G4	Q63ZW9	F1M9F8	F1MKX5	F1PEE8
Q96LW1	E9Q876	D4A6K0	F1MVZ1	G1K2D8
P49238	Q9R0M0	Q924V1	E1BMP8	F1PMI7
O95049	Q8K3V4	D3ZF42	Q32P76	E2QYD0
Q9BXH1	A0A0R4J1H2	G3V7X6	F1MDE0	E2QXA5
Q8WX98	D6REU8	Q62632	F1MI91	F1P785
Q8NEY0	Q6PGC7	D3ZFF6	Q3ZBJ9	F1PEK6
Q9HCB6	Q91YR9	Q7TNZ6	-	-
Q7L9D0	Q5SQM0	D3Z8C5	F1MZY9	E2R4Z8
Q68D51	Q80Y39	P61169	Q29S07	E2QSK8
Q5TAP6	Q6DIC6	-	-	-
Q15847	A0A0G2JGZ8	A0A0G2K9R3	F1N5J5	J9P160
A6NIM6	P0C191	-	-	-
O00631	Q0PD20	D4AD66	A2VE72	J9NSE5
Q6P602	Q8BM65	Q4V890	E1BP81	E2R774
Q10981	Q31125	F1M3S0	A7MBB9	E2QWN4
O75638	Q9Z191	G3V719	F1N440	E2RNH4
P58401	M0QWU0	M0R8C1	P84081	E2QYP5
H3BPM6	E9Q9K5	G3V8W8	F1MSG8	E2RTH5
Q9Y2S6	Q9DAY4	A1A5P1	F1MFY9	E2RLV6
Q14117	P0C5I1	D3ZHU3	G3X6E3	J9NRS7
Q7Z769	Q3TFK5	F7EL93	F1MMF1	E2RDH7
Q8IX82	P47802	-	-	-
Q92563	Q9JJ00	M0RBN8	Q08E68	J9P0H5
O75346	Q9EQF5	B5DEF5	G3MYB0	E2QUX2
A7E2F4	O35118	O08874	Q0VC62	F1PAK9
P12104	Q99LF8	G3V9J9	F6PYA5	E2RET3
P18464	Q9CSN1	F1LRE5	A6H7H7	E2QWK9
B3KPL7	Q9CWG8	P25109	E1BFE5	E2R1P0
O60806	Q3UTY6	Q4V7B0	A6QQX5	E2REE2
Q8NE22	Q1A3B0	-	-	-
Q9NSA2	Q8BH15	B2RZ94	F1MN94	J9NUX1
Q9NZI2	Q544E8	D3ZF96	E1BN10	F1PGV0
Q9NXB9	P04228	F1LR11	E1BP61	E2QSC8
Q9BS75	F6QNG5	M0R3T0	P80513	F1Q407
Q8NA82	Q8BYN3	F1M2G0	E1BBS9	F1PEY9
Q9ULI0	Q8K0B2	O55227	E1B9T6	J9NXX8
Q9UPR6	E9PYK0	Q6J329	F1MHV4	E2RTE5
Q8TDY8	P15307	G3V8R5	E1BGR4	F1PTV4
Q13686	Q5F2F2	P13109	G3N1T3	F1PCE5
Q13069	Q9JIE6	A0A0G2K2Z0	F1MXA9	F1PGT3
Q6UXZ3	Q6X6Z7	G3V8V9	E1BPT9	J9P3I4
Q9H6P5	Q8CH20	-	-	-
Q99645	Q6NVG1	F1LRZ9	A4IFF7	F1PLZ9
Q9UIL4	Q8K2Y3	G3V799	Q2HJ66	F1PGT6
P47893	Q91WE9	Q5U2P3	Q95136	E2RIR3
A8K4G0	Q925J9	O08658	E1B8E9	F1P8G0
Q8NE00	Q78S06	Q6AYR6	Q0VCP4	J9NTG3
Q8WW36	Q8VHI5	Q8R511	F1MW24	E2RKY0
A2A288	F8VQ40	A0A0G2JZL4	F1N7Z4	F1P8K0
Q5TGY1	Q920M7	P11442	E1B844	E2QXZ0
Q9NS84	Q8R3Q2	G3V6Q4	E1BMD4	E2RBS3
Q6V1P9	Q99LE2	Q9WVA9	E1BP47	E2R5C8
A0A024R0L9	Q8R1A4	Q62761	E1BPR4	F1P7J7
Q9BV19	Q3V2D2	G3V8B1	F1MI34	E2R7I5
A8MT65	Q3U3Q1	B0BND2	E1BA43	E2R7P2
Q9BXP8	A0A140LI59	D3ZBF6	A7YWP6	Q9ZZ65
Q8NEA5	Q9JM14	-	-	-
P0C2L3	Q8K342	Q4G008	Q3SZ13	F1Q475
A0S2M1	Q9CWG1	Q08420	A6QPS1	F1PC33
Q9BXD5	P23198	B5DEP5	-	-
Q13068	Q9CZB3	D3ZIY3	E1B9F2	-
A6NLC5	D6RI14	-	-	-
Q6UWN5	A0A0R4J289	B5DEK2	Q58DD2	J9NRN8
Q8IZK4	P61168	Q06646	F1MZB6	E2QUE1
Q96AQ7	O70326	P21533	F1MGZ1	E2QS72
B2R4D8	P58682	-	-	-
Q96RN1	O70200	P24470	E1BFH4	E2R3T0
Q6WRX3	Q8BSI6	Q62807	Q0VCY5	E2R7G4
Q9Y614	P81117	Q4FZS5	F1N4E4	E2RIE3
Q9ULC8	Q0VBL1	Q5BK75	F1ME26	E2R2V8
B2RNN3	Q3UHE1	B1WBR1	E1BHZ2	E2RQ65
Q9Y5X0	A0PK84	D4A650	Q05B85	E2RAI2
P62262	D3Z5I2	-	-	-
Q9ULT0	O89050	D3ZMR9	E1BGU4	F1P9E5
Q9Y5H5	P47936	B2RYG8	G3N0L2	J9P2P5
Q9NRX6	A0A0R4J030	-	-	-
Q9Y3S2	A2AVA0	D3ZD18	E1BP31	F1P8I3
Q52WX2	Q6P290	Q2MHH0	Q3T0S3	J9NXF1
M0R2C6	Q61006	A0A0G2K6Q8	F1N6I1	F6USS9
P24557	Q9JIB4	P20156	P00586	E2R8I7
O60235	Q3U6P5	D4A1G1	-	-
Q7Z2Z1	P59235	A0A0G2K1L0	F1N3U0	F1PWR7
Q86XS5	F7CBX2	P27682	F1MQP6	F1Q3T9
Q4LE58	Q8K0P6	A2VCW5	G3N284	E2R7C3
P51582	S4R270	B2GV80	A6QQA1	F1Q3Z3
Q8N184	Q9ER63	O08876	Q9XSW5	E2REX4
Q8IY49	Q8R242	Q812C4	Q17Q91	F1PZZ4
Q7Z4W8	Q8VD04	A0A140TAE5	Q3ZC07	F1PKU5
Q9NPV4	P70428	D3ZPG5	F1MJB0	E2QXC8
Q9P0G3	Q99LD4	Q6AXY8	E1BFD0	E2RLV1
M0QYT0	Q99P68	Q05175	-	-
A8K4B4	Q03172	Q66H95	E1B9N9	F6PLG8
Q02094	O35181	Q07490	F1N310	F1PA57
Q8NC01	Q8VHZ5	A0A0G2K189	E1BPV3	F6XEN7
Q9BXY4	P18469	Q9ES08	F1MH26	J9JHD0
P63150	E9Q173	P20294	A6QL90	J9P191
Q6GPI1	Q811G0	-	-	-
Q2KHR2	O88974	F1M7F7	E1BLC5	F1PPB5
Q8N9W8	Q64331	-	-	-
Q8N0W3	F8VQ52	F1LR60	-	-
P49961	F8VPX2	B5DFI3	Q3ZBN0	E2R3B0
Q9H8M1	Q3TYX3	Q7TP35	G3N2B1	E2QYQ7
Q9UMX3	Q14AI0	B5DF94	G1K212	F1P7T1
Q5T2D3	A0A1Y7VM80	Q5HZE9	Q32L30	E2RRL7
Q75LP0	Q8VE42	M0RAR2	E1BDI0	J9NYQ6
P49683	A0A140T8T7	P05506	-	-
P50120	P97325	G3V7F3	G5E6I3	F1PQK9
P27469	Q8BGP5	-	-	-
P14207	P22726	D3Z977	F1MSV5	F1PA35
Q15761	Q9D711	D4AE03	-	-
P04090	Q5DTW7	D4A1J3	P21327	J9P0Y1
P57738	S4R1F8	D4A4U3	E1BIL7	F1PZ56
Q8TBR7	Q9D8L4	Q9R1N3	Q2YDD4	F6XRN5
Q9H4G1	Q8VBY2	Z4YNI2	-	-
O95045	A2A7P4	D3ZWT2	F1N0Z2	F1PCC8
I6L996	P48437	G3V7X4	O46385	F1PPV5
Q96IG2	Q6PDK8	O35920	Q2NKS9	E2R4N6
Q7RTY5	Q3UVT7	Q5FAQ9	Q58DG7	E2RIC0
Q9UNU6	P01724	Q62812	C4T8B4	E2QZV4
Q9H6H2	B2CKC6	D3ZKG3	A6QP68	J9NTP6
Q9BSE4	Q812C9	D4AEJ5	Q2KJ92	F1PT95
Q9BYG0	P97825	F1M6X7	Q29RI9	E2RRE1
Q99712	Q5DTP7	M0R557	Q2KJ41	F1PCB9
P30954	Q6NZC7	D3ZEF9	F1MEU4	F6V9M3
Q96PP4	Q5SSE9	D3ZXN7	F1MGX3	F1PFB6
O60359	A0A0R4J009	D3ZMN2	A6H7C9	E2REY0
Q5ZEZ6	Q8BH83	A0A0G2K7Q2	E1BKA3	E2R469
A6NNL5	P70259	O89117	Q32LI6	E2RAJ7
Q8N3J3	Q8R2U4	D4A986	E1BFB9	E2RB28
Q9H7V2	Q64191	Q6IMZ0	Q0P5B6	F6UZN2
Q8NG75	Q9R224	P35281	A2VDK8	F1PUT1
O60224	Q58Y75	D3ZBT6	F1MY14	E2RK51
P17030	Q8R3I2	D4A009	Q2TBQ1	J9P056
Q9UKL6	Q5GAM7	D3ZPW4	E1BJ99	J9P8M0
Q9BZD2	Q8CHS2	D4A8Y6	F1ML08	E2RE35
Q8IWG1	P59823	P22388	G3X7G3	F1P8T3
O43497	Q64692	D3Z8B6	Q2KJ20	J9P946
Q86V20	Q9WTN0	P70550	A4IFA7	F1PZC6
Q9UKN7	J3QPZ5	Q66H65	A6QLN3	E2RCU7
Q504Y3	Q8R2W9	A0A0G2KAA6	A3KN24	P24408
O76087	A0A1B0GRD8	D4ABM7	A6QM11	F1PWW6
Q14003	Q3U6K5	Q9JJ31	A6QQQ4	E2QXB6
Q8N268	Q9EPS3	Q6MGB5	A4FV27	J9NX80
P07358	P32958	G3V9V6	F1MX79	E2QVW6
Q96IR2	Q9D1J3	F1LV96	-	-
Q717R9	Q8VIJ8	D4A488	E1BPX1	E2RHS4
O15484	Q8BQS5	A0A140TAI7	-	-
Q96PX8	Q9ER75	F1LPE5	F1N3F7	E2RBX9
P0C870	Q6NXH3	Q5XIU1	F1MMW7	E2R7G8
Q86W24	Q8K2G4	B2RYC8	Q2HJ48	F1PNN7
Q9UH36	Q8R3Q7	P70582	F1N694	E2RN76
Q8TBB0	P97794	D4A3X7	A4FUH1	E2R2D3
Q96A25	C0HKD9	D4A7W1	Q3MHM8	E2RB71
P51164	Q9Z2E2	Q2ABP3	A6H7G1	E2R3Y3
Q7Z606	Q6ZQ86	A0A0G2K8D1	F1N243	E2R858
Q9BZA7	D3Z3A3	D3ZHD7	F1MTV4	Q9N281
Q9Y6I8	Q64329	G3V8M0	F1ML49	E2RIF7
P49221	Q9EQB9	-	-	-
Q9BSW5	Q6IFX2	M0RD53	O77788	E2R2R1
Q8NEQ6	Q91VH3	D3ZTX1	F1MWC0	E2RBR7
Q86XP0	P56391	M0RDF1	E1BG07	F1P9C8
Q8TAB3	P12265	P35400	A7MB27	Q9TU16
Q8NDH2	G3UYV8	Q9Z252	E1BBC2	E2QXX9
P0DP57	Q9Z2H5	Q5M7T2	Q3ZCJ1	E2R5D9
Q86X53	P60755	D3ZKR9	A6QNR7	F1PUW1
Q8TB40	Q8BHK2	F1LRB5	F1MTA8	A0A0A0MPC9
P05981	A0A0R4J1X4	D3ZRN4	-	-
Q9HDD0	A2ARA8	-	-	-
Q2KHT3	Q925D8	D3ZKP8	E1BP23	F1PB44
A8MUK1	Q9Z0P7	G3V8I7	A2VDV7	-
V9HW53	Q60720	D4A038	F1MY75	E2RGJ5
Q71RS6	E9Q2E9	D4A208	E1BPM4	J9NZ79
P47874	Q61241	G3V9V1	Q2KJ58	E2QXW9
Q8NI99	Q6RUT7	P26817	E1B987	J9NUJ9
