O15116	P10598	Q91XL4	F1MRE1	E2R4V5
Q8N8Q9	Q9ESL9	Q6SLE7	Q58DN0	F1PZY8
Q53RC5	P35436	Q63633	E1BKJ1	E2R359
Q6ZTI6	Q7TSK7	Q4LEV3	-	-
P56730	P51827	P80433	F1MXP9	J9PAR6
Q3MI07	Q80XP8	M0R8J3	E1BLT5	J9P2A3
Q99685	Q922B1	Q5I0C5	F1MZX7	F1PRH1
Q14663	P09925	P55090	F1MZK8	J9NWM0
Q9H714	Q9CPR8	A0A0G2K3B2	-	-
P28906	Q71M36	D4ABF5	E1BK80	E2R838
Q6GSK2	Q9CZV8	D3ZYQ4	G3MYN8	F1PGY8
P0DPD7	Q8C6S5	Q63769	E1B9W2	J9NUK8
P31152	A0A0R4J0P1	O08726	A0JNN6	F1P8B5
Q9NZ20	Q8C147	F1MAG2	F1MGY1	F1PAT7
Q9BZD7	Q99KH6	Q9QXI3	A2VDL4	J9P0X8
Q9BPW4	Q8C8N2	A0A096MK24	Q2HJI2	F1Q247
Q56VL3	O88441	P38650	Q2KJ84	E2RFI7
Q16558	Q8CHG1	B2RYH9	-	-
Q9NRA0	Q3TMX5	D3ZNY8	F1MXE5	J9P0Q2
Q15937	Q91WE6	P70531	G3MZZ5	F1PFU3
Q6UB28	Q765H6	D3ZWZ9	E1BG75	J9PAB0
A8MXV4	B2RX88	F1MAF2	E1BEM3	J9P1U7
Q7Z5A7	Q91XL3	P02524	Q3T0K0	E2REB0
Q53QP3	A2A559	P01230	F1MJH9	-
A0A0S2Z604	P48346	Q5I0H0	A6H7J8	F1Q431
P35498	Q6IMH7	D3ZGL3	E1BHU5	J9NTY1
Q17RD9	A2RTF1	-	-	-
A4D1I1	Q8VIH9	A0A0G2K6R7	G3X737	E2RTJ0
Q8N966	Q8R070	B4F7E8	Q2KI56	F1PI88
P20142	Q8R367	P47860	F1N735	F1PGS4
Q9UPI3	Q9Z1M2	Q9JKB0	E1BPJ7	E2RBF0
Q96MW1	Q9D850	Q5I0L4	F1MFC2	F1PYS6
O75900	D6RGQ2	A0A0G2JSP9	F1N062	J9NY69
P61246	Q9QW08	D4AE82	E1BBU4	E2RAX6
Q4ADV7	Q3UHE1	F1LV01	F1N498	J9NS69
Q9UIX4	Q8BQZ5	Q642A2	P00426	E2RN16
Q96CD2	A0A0R4J0C3	A0A0G2QC04	G5E5T9	E2RNR3
A0A0S2Z4H3	Q6KAS7	Q5XIU5	-	-
Q8N0W4	Q3TF18	Q9Z2P4	Q32L96	F1PEU7
P62856	D3Z7A5	Q9WVS2	G5E5B8	E2QW14
A2J422	Q8CB65	F1LNA9	F1MYX4	F1PQM3
Q6PF05	P21761	E9PSQ1	G3MZZ8	J9JHU6
Q9P2Q2	Q0VFX2	D3ZVG2	A6H7H6	F1P894
Q86TN4	E9Q5Z6	P02683	Q0VC12	F6UNU8
Q8WUA8	F8WGV3	D3ZR43	Q0VCW0	F6UTP7
A8TX70	Q3UYK3	D4A9U1	E1BFN2	E2REB7
Q9Y2G9	B2RXB2	Q5U1Y4	E1BPY1	E2RPU4
P04229	A2AB59	F1M928	Q3SYT9	F1PBN8
Q9NXG6	Q9D2Y9	R9PXW5	A0JN70	E2QUJ5
Q9HB19	Q64282	P50569	F1N7F9	J9P5D4
Q14159	B1AV20	D4A9J3	E1B979	E2RLC7
O14638	Q8C141	F1LN76	Q2TBR9	F1PA70
P33763	A0A0B4J1E9	Q4KLI4	F1MGK3	F1PER1
Q5GFL6	Q8R4H4	P56627	F6QQR5	E2RF38
Q8N365	Q8C190	-	-	-
P24298	Q80YD6	-	-	-
P24855	Q9JKL4	Q6AYF7	G5E6P8	F1PKP0
P51800	P70408	Q6AYL8	F1N1F5	E2RJH4
Q9H3M0	Q9WUK7	A0A0G2K2S1	E1BIJ0	J9NUQ3
Q8IUN9	Q6YGZ1	Q5U2V9	F1MV02	E2QXX6
Q8WTY5	A5JUZ1	A0A0A0MY01	A5PJL2	J9NUK2
Q96RV3	P97466	Q6IRE3	E1BM57	F1PJZ4
Q6ZV77	Q91WD9	Q00438	F1MIB4	E2RDC8
Q96IU4	E9PZR8	D4A2L1	Q8WMP9	E2RGU7
Q96RS2	Q9CZU4	F1M5Z5	E1BEP9	Q1AG03
Q96SR6	Q32NY6	D3ZZR4	Q5E9Y2	F1PQP7
Q7Z3Z0	Q8K3P1	P97577	E1BL68	E2RTH5
Q9BYU1	Q9DCG2	B5BUZ1	Q3ZBI0	J9NZP5
Q96FB5	Q3TYX3	Q4V8K5	F1N2K0	E2R7A0
Q9Y6S9	P21995	-	-	-
Q9BT63	E9Q3G0	P62510	Q29448	J9P6T8
P13746	G5E8Z3	G3V7H6	F1N7K2	E2RNZ3
Q8TBK2	P58750	Q6MG98	Q0VCV8	F1PXH7
Q9BT30	O88509	D4AAT5	F1N655	F1PEU2
Q5VW36	Q922H1	B5DEY8	-	-
Q8N2X6	Q8BP99	F1LRJ7	A6QP99	F1PQK9
O43824	Q2TB02	P00481	A7MBA1	F1Q348
Q8IXV7	P70458	Q4QQS4	A6QQQ4	F1P8A4
P06731	Q6R5P6	-	-	-
Q6PIV7	Q91ZJ9	D3ZL84	Q32LA8	E2RIU8
Q8TDG2	P97357	D3ZVI8	O18836	F1PGB7
Q9H0D2	Q8R0I4	-	-	-
A6QL64	Q4ZGD8	A0A0G2JTY8	Q3T119	F1PFB8
Q9Y3R5	Q3V132	D4A2N0	J9JH85	E2RDH2
Q0VG99	Q923Z4	A0A0A0MXW4	Q2NKW0	F1PK05
Q59EY7	P70669	P14408	-	-
Q9P2U7	F8VQB8	F6QBA3	E1BJC7	J9P1T5
Q6P179	O08644	A0A0H2UI24	Q2T9Y3	F1P865
A6NEK1	Q7TQ06	D3ZJI6	Q28028	F1PKN7
P17481	Q8VDV7	F1LMF4	-	-
Q96CH1	Q3UVD6	B5DF22	Q70IB5	F1P7U6
Q9NP94	Q8CHV6	P51869	Q0IIM5	E2RER6
Q8N187	Q9R008	F1LTW6	A5PJC5	E2RST7
Q8NBH2	Q6PFX6	P97943	F1N2V9	F1PLT8
Q14542	Q3UUX7	Q68FQ4	F1N1S5	E2RNJ6
Q7Z429	Q8K0H7	A0A096P6L4	F1MHS9	J9NZN4
Q6ZV29	Q9WTJ4	A0A0G2JVK0	E1BK11	E2QWG7
Q6UWV2	Q8BVH9	Q5PQR6	-	-
Q8N136	Q3UJH4	D3ZSW4	E1BLB8	-
Q5TYW1	Q9D032	Q5BJT2	A4FUZ6	E2RMY7
Q96P31	Q32KG4	F1M8Z3	E1BEH9	E2RH84
Q3SXZ7	Q8BQQ1	Q66HD0	F1MGY3	E2QW94
Q5XX13	O08530	G3V6V1	F1MI78	F1PDR8
A6NFR6	Q99MX7	F1LPA3	E1B8B9	E2R560
Q9UHD0	P39654	D4A7P5	F1MJ31	E2R383
O60882	Q8BGH7	Q9WV97	E1BDL3	E2R928
Q9NZW4	G5E8K6	D4A1S9	E1B7S2	F1Q0R1
Q96K78	G3X977	D4A9F4	F1N3Z7	E2RIS0
Q8N1A6	B9EKC5	F1LRF3	F1N184	E2R1T0
Q96BD0	A0A0R4J0U4	Q6AYD4	F1MJY3	F1PZS7
Q8IUH2	A2AG58	B2RYB0	F1MJA3	E2RE52
O15428	Q8R2G6	D3ZT16	E1B7C8	E2RLK0
Q5EFE6	E9QL24	F7F6T0	F1MDI7	E2RSC3
Q8IVB4	Q9CQU8	D3Z8Z9	Q5E9A5	F1PQG0
Q96G38	Q04857	B5DF58	P07471	E2RHC2
P50458	O35600	D3ZT28	Q9N1Q8	O77592
Q96BQ5	Q640R3	D3ZKX8	F1N178	E2RRD6
Q8WWL7	Q8R2S8	D3ZH74	F1MWJ0	E2R1I2
Q8IZS5	Q08761	D3ZYS4	F1MT69	F1Q381
P60901	Q80XI4	P62890	F1MIV2	E2QTQ2
P30872	P70126	Q8K430	F1N054	F1PF37
Q9H0Q0	Q61006	Q498D6	Q3T0T7	E2RC53
Q9UNL7	P99025	D4A732	Q08E13	F1PHV1
P50219	Q9QWG2	P57113	F1MLG9	Q863T4
Q9NRA2	P40240	G3V9H1	O97790	E2RD03
Q2M296	P56479	M0R4E1	E1BNQ4	Q3BCQ4
Q9UBY0	Q8BG02	D4ADC1	-	-
Q56A73	Q8BJK1	B5DFE0	E1BB16	J9PB81
O00408	Q8BGP6	G3V964	F1N3S3	F1PB62
P30484	B1AT60	P63281	G3MYR8	E2RSR1
O43280	Q9D0P5	D4ADK4	F1MUQ7	E2R0K0
Q9BXA5	Q3UGC7	A0A0H2UHC9	F1MC10	J9NTY6
Q49AG3	Q9EPL4	P55161	E1BBI9	J9NUM6
Q8WVN6	G3XA20	D3ZC08	Q0VD34	F1PY24
Q9Y2D9	Q4ZJM9	-	-	-
Q6PKC8	A0A0R4J0F7	-	-	-
Q9Y2B5	Q9EQG5	D3ZGB0	A4IFF7	E2QZV2
Q9UBV4	P59729	D3ZAX9	E1BGU4	J9NWT7
Q6P589	Q99KG5	Q62893	F1N5P0	J9NZW1
O75071	Q8R4V4	D3Z9K3	F1MZH9	E2R7T7
O75952	O08912	B2RZ27	F1MEV4	J9P2F1
Q9NU39	Q3TZA2	F1LZ05	F1MVY4	F1P956
Q5U623	Q9DAX2	D4A281	F1MS77	J9NY19
B4DJ51	Q91Z46	P84889	F1MCE7	J9P8T4
Q17R60	A2AQH1	P03926	F1MCA9	E2R495
Q9NPR2	Q9Z2I2	Q9JMA8	A1L552	F1PX89
Q96BN6	Q9CR46	G3V9V6	F1MU31	Q5WR09
G3V529	Q9CSH0	D3ZHR1	E1B9M6	E2R214
Q15848	A0A0R4J0K5	G3V627	E1BHJ9	E2R1J7
Q6PIP7	Q64433	G3V6F7	Q3T0Y3	J9P808
Q8WLS4	Q9D8Y1	-	-	-
Q9Y6F7	Q9D181	E9PU21	Q2NL36	E2RR72
Q86U75	Q9CWR0	B0BNL7	E1BBR9	E2QZY3
Q969P6	Q8C9V1	-	-	-
Q5VTY9	P28563	A0A0G2K9I6	Q17QZ6	F1Q328
Q8N434	Q6RI63	-	-	-
Q96G61	Q8VCB1	Q62835	-	-
O15321	E9Q9A6	F1M7P8	P05632	E2RGT4
Q9P2J2	Q7TNI2	G3V9X1	F1MU41	J9NYF4
Q8WWA6	Q64732	Q5RKH6	P43896	E2R7K3
Q8WWX8	Q9QZF3	-	-	-
O94956	P70392	D3ZWR1	E1BK28	-
Q8N7X1	Q6IE82	D4AAA5	F1MFE9	E2R4U2
A8K651	Q6GQW0	D3ZVM9	Q3ZCJ6	E2RHR1
Q9BYZ8	Q8K1I3	F1LM38	A4FV50	E2QXA3
Q53GW1	Q9DAG4	D4AC01	A0JN95	J9P324
Q96BQ1	A2AG06	F1M5T3	E1BBE2	E2RB24
Q96D42	Q6P243	-	-	-
Q5SRQ6	Q99LC9	D3ZTB5	Q5EAC7	F1PBW7
P59510	Q925I4	D4A284	A2VE59	E2RBV1
O95633	Q9D2N4	Q5RJK8	E1BIW7	-
P02654	Q9CQE5	P18445	F1MFB5	J9NT90
Q8NFU5	A0A0J9YTU1	D4A7A8	Q2KIA1	-
Q9H4X1	Q3TIR1	A0A0G2JSN4	F1MZM7	J9NTB9
O94898	Q9WV89	G3V759	E1B8W1	F6Y290
Q86Y79	Q9QUG2	D3Z962	Q0IIJ1	F6XMT1
Q02045	Q6S7F2	P19944	F6QNC4	J9P0T7
O15552	Q7TSV4	Q0ZFS7	E1BNK2	J9P0Q6
Q8N392	Q3UI45	Q5M826	F1MVZ8	F1PCG1
Q9H3E2	Q9JMA2	A0A0G2K3M7	E1BIY2	E2RN76
Q00G26	Q7TPD6	D3ZE22	E1BAD9	F1PM76
Q7Z3G6	Q8R1E7	A0A0G2K0J8	F1MSJ6	Q865S3
O94811	P35175	A0A0G2JSZ8	E1B7V1	F6Y2S5
Q9Y5C1	Q4G5Y1	D3ZX04	F1N6R4	J9NU29
Q8WUX2	P70699	Q3B7C7	-	-
Q8WVF5	Q6PB51	B1H271	F1MGT0	F1P785
Q8N6K7	Q64205	D4A904	F1MHF0	F6V7M1
Q96IR1	Q61702	P28023	E1BDY0	F1PJV7
P54826	Q5DU02	F1MAB8	A6QLV3	E2QZ69
Q6UWD8	E9Q7T4	F1LNS0	E1BM30	E2RMQ1
Q92935	O54918	P09117	Q29RJ9	F1PAZ4
P0DPD8	Q8BLU0	-	-	-
O60478	P31041	D3ZEA2	A1A4R0	J9P256
Q9UHC9	P18893	D4AEL3	Q2KI54	E2R7F9
Q5T2S8	Q9Z2C8	F1M7U0	G3N2H4	E2REY4
Q9HCJ5	Q7TNL7	D3ZMG0	-	-
B4DM97	P48744	F7FL00	Q2KJ32	F1PCR1
O60688	P97431	Q80WL2	F1MS12	J9NSP8
Q6P9A3	Q6SR48	M0R551	A4IFU8	J9NZA1
Q9BXR6	Q8C1R0	M0RBN8	G3MZ24	E2RRW8
Q8WXA2	D3YX11	A0A0G2KAX6	F1MZR7	F1PKH9
Q6H3X3	P01592	A0A140TAH2	F1MGE9	F1PY83
Q6UWQ7	Q3UPR9	Q4V8F1	F1N2Z6	F1PRV0
Q96QA6	Q9D300	B5DEI0	A6QLS6	F1PEE6
Q8N4F4	Q6DIA9	D3ZSK3	F1MZY0	F1Q0F4
Q96S95	Q8BVN3	Q5RK24	Q148D6	-
O95971	A3KG59	P09118	F1N6L1	E2QZQ1
Q5JSP0	Q5RL79	Q5RJS2	Q0II29	J9P3I9
O43526	Q9CQD8	Q925A9	E1B9I1	J9NYC3
Q9HBT7	Q99NE5	E9PTT2	Q2M2T7	F1P601
Q9NZS2	Q3V2J9	O70244	Q3SZJ5	E2R4N6
P22310	P98078	P80385	F6QT88	-
Q96QU1	Q8VIJ8	Q66H78	F1MGR3	J9P273
Q8TD23	Q8BID8	Q9EQV9	F6Q234	E2RJ62
P46095	Q91VC9	A0A0G2K8K1	G5E5H6	E2RSD3
P0C881	Q499D5	Q7TP63	F1MIH3	E2RCV9
P0DN86	Q05421	-	-	-
O75123	Q06186	D3ZTW6	Q3T0Z5	F1PCW0
Q9P2D6	Q8R2L5	Q5FVL5	F1MCR4	J9P6M8
Q5CAQ5	Q8BWU1	Q5FVL2	F1MFU7	F1PLH1
Q9C0D7	Q52KR2	A0A0G2K744	-	-
Q09FC8	A2RSX4	D4A3D9	F1MDK9	E2R5U8
Q9H479	Q8CDA1	P62912	F1N4K0	F1PTF9
Q5VUJ5	Q6P7W0	-	-	-
A0A0J9YY01	Q922Y0	F6R0A3	G3MXV7	E2RAV7
Q9H0V1	Q6NVG7	Q64568	E1BFS5	A0A140T8D9
O95972	Q91WD0	F1M8D3	F1N1Q9	E2RR27
O00501	A2AFS3	Q6R5J6	E1B8E3	E2RGK1
P59817	Q8C0Y1	B0BN78	A0JN38	F1Q1L3
P23280	Q6PGC9	D3ZEY0	Q1JQD8	E2RKW7
Q4V9L6	P02301	M0RAA8	F1N0M5	F1PAF1
P11684	Q6VMN6	A0A0H2UHE0	E1BCJ9	-
Q8N1W1	Q64124	B1WBQ1	F1MQ69	J9P5Z7
Q92685	Q3URV1	Q498U3	F1N2J7	J9P0S9
Q8IZ81	P56473	-	-	-
Q6P2I3	O35852	D3ZHE7	G3MYF1	F1PBF6
Q9HCC9	F2Z468	Q8K4Y5	F1N2K3	E2QUM7
Q5T0D9	Q8CBG9	F1M6Q1	E1BD25	F1Q0W8
Q15546	Q6YNI2	O55159	F1MZQ4	F1PGK8
Q96GX8	O54754	D4AB36	-	-
Q96DL1	Q768S4	-	-	-
P56851	Q8C7Q4	B0BNK2	G3MY88	F6V4T0
B7Z8W3	Q9CR53	F1LPJ1	G3N0S6	F1PFZ5
P54852	Q8K4R9	D3Z8D8	F1MW97	F1PBA6
Q8IZP2	Q61190	B2GV49	E1B914	E2RKC5
P58872	Q3V1L5	F1LN49	F1MF33	F1PVG7
Q1EHB4	Q3TMP8	D3ZQK8	A4FV58	J9P2L3
Q9BRQ5	Q8C1E7	Q5BK57	F1N4X0	J9P7F6
P60893	Q9R0R1	F1LV71	-	-
Q86YS6	Q9DB26	B2B9B0	P11179	E2RKW1
Q8IVN3	Q3UDP0	G3V749	F1MJJ2	J9P809
Q6NSI3	Q9DAR7	B2RYJ7	F1MFT9	E2R2F2
Q13465	Q9D9S1	P48508	E1BJT6	E2R963
Q5VUG0	Q64GA5	D4A5R3	A5D7I7	F1P8A7
Q01534	Q6P1E8	D3ZVL5	F1MVR5	E2RSD1
Q9NUL2	Q9QZ04	M0R6Y0	Q09139	J9P0G4
P53708	O88838	D3ZQA1	A7MBJ9	F1PNV5
P36269	Q8R079	D3ZW82	Q2NKT0	E2R629
Q9HCL3	Q3USB7	F1LND0	G5E573	F1PZH3
Q9NR63	E9PV60	D3ZWD2	A5PK42	E2R5W2
P35247	Q9CQ28	G3V9M5	E1BMJ2	E2RB73
P55083	Q8BX65	D3ZDN6	F1MK01	F1PYG1
O60312	Q9Z2Y2	P29995	E1B9X1	E2RRY1
Q08AF3	E9QMA6	P08721	F1MFW9	E2RFZ0
Q9H0M4	P17665	A0A0G2K5V3	E1BK03	E2RA09
Q8WXG1	Q9JI20	A0A0G2K9K0	A4IFP4	P06857
Q6P499	O08967	P07861	Q17QR0	E2RAD0
Q8TBR0	Q99K99	A0A0G2K1Z6	G5E6S8	E2RF25
Q13634	Q3UYH7	M0RDC9	Q5E9P3	E2RRF6
Q96RJ0	Q78WZ7	D3ZQG2	F1N3H0	E2RLG8
Q3SYA9	Q8BK60	G3V6P3	F1N3G1	E2QY85
Q99467	Q9DC16	Q9QYL8	-	-
P29965	Q9JLB0	Q5PQT2	Q2KIR4	F1PSR3
Q8N112	Q924D0	A0A0G2JTZ3	A1A4I7	F1PC78
Q8IZU9	Q04519	D3ZWI4	F1MYM8	E2R4Q9
Q9UDX4	Q8BVZ5	D3ZLP9	E1BKZ5	E2RIQ5
Q8WZ33	Q61884	D3ZLE2	-	-
Q9H0H3	Q8BHY3	F1LRQ5	E1BID8	J9P2C7
A1IGU5	P56203	Q68FW4	P82928	E2QS92
Q14586	Q8R0M8	Q5XI90	-	-
Q9UI32	Q8C138	B0B1T9	F1MXD8	J9NZ85
Q93099	E9QA62	Q9QZC4	E1BI44	E2QS75
P49281	Q69ZX8	F1M972	F1N6Y9	F1PSB1
Q6NZ55	Q8VE99	Q5M834	E1BFZ5	F1P5Z8
Q9BWD3	Q03157	P30680	F1ME23	F6X8K8
P37059	Q9Z1M7	P02692	F1MKA6	F6XFB6
Q6PL45	Q3TGW2	A0A0G2K953	O62664	F1PPU9
Q9ULS5	Q80TG1	D3ZE73	G5E571	F1Q4H9
P48165	Q9CXC9	A0A0G2JZ68	E1BB49	F1P8I4
O60635	P54797	D3ZXY2	F1MC78	J9P188
Q99680	Q60736	P08482	Q02374	F1P6T5
P04000	Q9EPQ7	A0A0G2JTB2	F1MYH6	E2R776
Q8TBI1	Q09PK2	P17625	Q58DT8	E2RAA9
Q99250	Q8BRV5	A0A0G2K4A2	E1BN42	Q076A4
Q9Y3N9	Q3LS21	D4AAI1	E1BJV8	E2RID4
P47869	Q9D8U4	F1LX95	Q08E43	F1Q1L4
Q9H313	H3BJ07	Q5SGD7	Q58CN9	E2R8X3
Q8N8V4	Q9DB22	Q2HWF0	E1BBC6	E2RT83
P78540	A0A1I7Q4A6	D4ABP8	E1BDD1	E2QSD8
O95750	Q91WU5	Q9Z2Q4	G3MXB1	J9JHM5
Q13342	A0A0A6YW14	B5DF44	F1MY82	F1PKL3
A2RU56	Q99NB3	B1WBX6	E1BJF8	J9PAG6
A4D0V7	Q99KK2	-	-	-
Q14CW7	P70202	Q4QQV7	G3X6X9	E2RRW7
Q4VC44	Q6NXN1	D3ZGN0	F1MRW7	E2RI67
Q9Y271	D3Z230	Q0R3X4	Q3SX47	F6UU59
Q9NV72	P09240	Q8K3V5	G5E6L2	J9P281
Q15814	Q2YDW7	-	-	-
Q32MK9	E9PYI4	P10037	A2VDK9	E2R9I6
P62332	Q60751	Q66H54	-	-
P21128	Q8R238	G3V6C0	A6QPT6	E2RFT4
Q5FYB0	Q9WV27	F1MAG0	-	-
Q9NXL9	Q9Z204	-	-	-
Q9NQ75	D3YVV3	-	-	-
Q2M3T9	Q8VCC1	D3ZQ77	Q32P85	E2R1I6
Q6NXT6	B1AZR0	F1M7G0	F1N5A1	E2RPC7
Q6DN03	Q8BH15	M0R7T6	F1N6A0	E2QXT4
Q8N131	O35936	D3ZA46	F1MLW2	E2RF65
Q5EFE5	Q7TNM2	Q4V8G5	Q0IIE6	F1PWN0
Q9Y6F9	Q9QZ39	O35849	A6QQH4	F1PE92
Q9BXS0	Q99JB4	P60713	-	-
O43392	Q3U108	D3ZW75	A6H711	E2RNA0
Q59EB3	Q9DBZ9	D3ZU21	F1MC93	E2RQA6
Q6NUJ5	J3QPU6	G3V7Z9	Q3ZCC4	E2QUZ2
Q86SU0	Q80ST9	P48807	E1BEL6	J9P170
P07327	D3Z3C6	Q6TUD4	E1B9P1	F1PAE4
Q96EE4	B2RXC1	F1M241	E1BLB7	E2QZ51
Q8WW33	Q31163	F1M9U4	Q3ZBI9	J9NX38
P52961	Q9DBL2	P63269	Q2KIT4	J9NYS3
O75387	Q9CXJ4	D4A4N1	E1BCG1	J9P2E0
P00995	Q8R0T6	F1M2M6	F1N2A3	F1PAC9
Q8IZ57	B7FAT8	P41135	F1ML55	F6Y4S5
Q9UHD4	Q5SSM3	F1LV60	F1MAU9	F1Q152
P0C7T8	P09602	Q9ESN0	F1MY10	E2RFE2
Q9NUW4	Q8BYJ6	Q4QQS1	Q0P5L5	F1PSE8
Q9HC74	Q9DBS1	Q5M7U8	-	-
Q8NEG4	Q9CWS0	D4A4L2	G3MY50	E2RSV3
Q9H1Z9	O70133	P41138	F1N6U0	J9PA13
O60542	Q3UI43	F1M8X9	Q32KS5	J9NVZ8
Q9GZZ7	Q8BG21	-	-	-
Q8NFA2	Q64520	D3ZAT7	F1N6G4	J9PB76
Q75WM6	F7BAB2	O70280	F1N065	F1PGC2
P30512	Q6U7H8	Q63617	E1BNP7	F1PJ89
O14841	Q9ERC3	-	-	-
Q8IYI0	F8WGW3	D3ZTT7	F1MIL9	J9NZB8
P28325	Q9D9P8	-	-	-
O95992	O70174	Q63060	Q32L61	F1PWZ5
P41247	A6H630	M0R8P6	F1MC73	E2RBK6
O95279	B2RV38	P55091	F1N6P6	E2RLI9
O94769	Q00690	P15389	F1N2X1	E2RQZ3
Q8NC74	Q80X53	D3ZEJ2	F1MGY6	F1PSG4
Q13065	Q8C9J3	B5DFM9	G3N2M1	L7N052
Q6UX34	Q3UQ84	G3V9J8	A7MB90	J9P1S8
Q9BSM5	P63250	G3V8F5	Q3ZBZ7	E2RLA3
Q6ZMN7	Q61092	Q95565	G3MYY6	J9NYH3
O60258	A2AUY4	O70610	F1MIF0	E2R116
Q6GVN4	Q9CZD5	Q05962	G3MXF1	Q5I2M8
Q9UL68	Q9ERI6	Q03555	-	-
Q9NQ82	Q8R1S4	Q5BJW5	E1BJ01	E2R4T6
Q5JWR5	Q8K3R3	Q9QZH0	A0JN61	F1PHP8
Q6TCH4	Q91WN4	P98158	F1N4J3	E2RGE7
Q7Z553	P70236	-	-	-
Q8WYN3	A0A1L1SQI7	M0R934	P17322	J9NSF8
Q9HB21	Q11204	Q5MPA9	F1N7G5	E2RRP7
Q8N412	P97458	D3ZWA1	-	-
Q8NCM2	P97718	A0A0G2K2C0	E1BMQ3	F1PB44
B9ZVM9	D3Z5V4	M0R401	Q29630	F1P9A0
P11678	Q5U4E0	A0A0G2JXW4	F1N2R2	F1PG19
Q96D59	P47934	A0A0G2K552	Q0VCL3	J9P769
Q9BTX7	Q3UEN2	D3ZS21	Q17QE2	E2REV2
A0A0S2Z5Y8	Q9CR23	D3ZYS1	E1B717	J9P079
Q8N5J4	Q91XE0	-	-	-
Q8TBY9	P20181	A0A096MK76	E1BLC6	J9P1J3
Q8N1Q8	Q8CDN1	F1LR78	F1MQ55	E2RA61
Q69YG0	Q31142	Q8BFS3	E1BM91	J9NRZ8
P24158	A0A0B4J1F1	D3ZZI6	F1MJ84	J9PB12
P20292	A2ASP7	Q569A7	Q32S26	F1PJF0
A2AJT9	Q8VCK1	A0A0U1RRY7	-	-
Q6ZNR0	Q64516	Q08834	F6QS88	F1PL99
Q9ULZ9	V9GXH2	W4VSR4	E1B8G5	F1PQK7
Q147U7	Q9EQR5	D3ZAQ8	G3N1H4	E2R2K7
B3KSH1	Q80WQ4	-	-	-
Q9Y2K9	Q8VC10	P05708	F1MMG6	J9NRJ8
Q7Z3F1	A2AFJ8	F8WFI2	-	-
O14511	Q8K3I9	M0R6E0	Q3MHG7	E2R8D5
Q86Y33	P33174	D3ZR33	E1BHY5	F1P872
Q6ZMY3	E9QPD3	Q5U2T3	F1MYQ8	F1Q0H1
Q9BWK5	Q499E6	Q9Z1A6	F1N592	F6UVL4
Q9NQQ7	Q9CUV1	M0R7K6	A8R4Q8	E2RE65
Q04609	P47750	Q63250	F1MDX6	F1PAT3
Q8NFM7	Q8R179	P97924	A4IFU4	E2RI68
P10176	Q8BXR6	P04937	Q7YRX0	F6Y6B4
Q9GZN4	Q5QNQ9	D3ZCW1	Q0VC71	F1P8P2
Q8IYK8	Q0P547	G3V7A2	G3X7S1	F1PBY5
Q5HYK9	Q61330	-	-	-
A6NFN3	Q9WUJ5	D3ZQN6	Q1LZD4	J9P4Y3
P05543	A0JLY1	F1M7L7	Q9GL77	F1PEL4
Q9Y284	Q8VCJ7	P10111	A8E4M8	F1PQS2
P46094	Q8BMK1	D4ABV0	E1BIU9	-
Q9UBD3	Q80WQ8	F1M9G8	G3N1D6	E2RJ38
P53674	P59384	D3ZQC1	F1MQK6	F1Q207
Q9BVC5	Q922M3	-	-	-
Q6IAW3	Q61142	G3V8C6	F1MS68	F1PTJ9
Q8IYA6	Q8R2E9	F1LWV8	F1MJP2	J9P8L2
Q8WYQ9	Q61328	P31596	E1BPY0	E2R302
Q9BPX4	O35972	Q9WUB8	G5E5V0	J9P5S9
Q5H9L2	Q8BFW6	Q63164	F1MS72	-
A6NFD8	Q8BZ21	A0A0H2UI06	A6QQD1	F1PZF4
B4E022	H3BJ82	-	-	-
Q08708	B9EKK6	D4A604	A5D7K1	J9NSK3
Q6LC83	Q8BUH8	Q00238	A6QLG6	F1PPM4
Q93073	B7ZCJ1	-	-	-
Q6P474	Q8C8J0	Q9QUN6	Q3B7N4	J9P3B6
B5MCY1	P06344	D4A4P5	Q6QTH1	F1PVI6
Q8NHW4	Q6PE87	A0A0G2K9X1	F1N2V1	F1PE95
P20396	Q9Z116	F1LM87	E1BH36	J9P6S4
Q12837	Q80ZU7	D3ZKJ8	E1B7X4	E2RIU2
P06310	Q3TUL7	Q6IRF8	Q2KHZ4	J9NSU7
Q59EG8	Q9QXI6	D3ZCS3	F1MT46	Q32KH1
Q9NQW5	G3X995	D3Z853	E1BN58	E2REP8
Q5EBL4	O88992	Q9R0Z7	E1BHZ4	E2QUL1
Q9Y4B3	P61226	Q4V8F5	F1MHC2	E2RBV3
B4DRD7	Q61488	Q569C4	F1N5I4	F1PDN5
O60760	Q8CC36	Q7TP34	Q2NKU4	E2R099
Q9NXI0	O35691	D3ZAJ7	F1N1M7	F1PY47
Q9UJL9	Q99PW8	D4A715	G5E5Q7	F6XNR1
Q6PI26	Q9D428	-	-	-
I3L0A0	Q64277	P36372	E1BH77	E2R823
Q9BS86	Q8CBF3	Q9QZQ5	E1BME7	B5RHI0
Q86VQ3	O70517	F1LXV9	F1MX00	J9NVR3
Q9NYW2	Q8K0C9	A0A0G2K2T1	P04696	F1PTK2
Q8N9W4	Q3UYV8	D4A3V0	F1N0X0	E2RPL3
Q96L53	A0A0R4J0P6	A0A1B0GWU6	-	-
