O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
P41439	E9PW10	B2RZ53	F1MS51	E2R341
Q96HP8	Q8K1A5	D3ZHA3	Q2KJ97	-
Q14901	G5E8Z3	P53369	E1BH71	F1PJS6
P09912	Q9JME2	G3V602	Q0II49	E2R7L3
O95076	Q8QZV2	Q642B9	F1MJ31	F1PB85
Q96ID7	Q9Z1J3	O88902	E1BJC1	F1PL18
Q96HA9	Q8BL65	G3V6R5	P02721	F1PKQ7
P0CE71	Q8BHL4	D3ZNJ9	E1BKQ1	E2RPU4
A0N4V7	G5E8J3	Q5PQT2	Q3SWW7	F6XEY1
O60663	Q8C581	E9PSK7	F1MCP1	F1PM34
Q9H1K0	Q64152	B2GUY9	Q2YDE5	F1PZA0
Q8NBI5	Q9JLC3	G3V799	E1BET1	E2RKH5
Q9P283	Q8BJF9	D3ZK26	Q8MKI3	E2RHT2
Q8WWF6	Q9CPV5	Q68G12	F1MM48	F1P8A2
O43309	Q3V0L1	Q2KN99	Q3T0D3	F1P897
Q8N9P6	Q3TFF0	D3ZKQ8	E1BFR6	F1PRV6
Q9NWS9	Q8R2Y8	G3V765	P13214	F1PWP7
Q13370	Q9D828	Q9Z250	Q3SWW8	E2R7Q9
O75072	Q80VM7	A0A1B0GWQ8	Q2KJD7	E2QWX9
Q9BRI3	E9Q7M2	Q9JJM9	E1BI51	F1Q3P9
P55291	Q80XG9	Q32Q88	Q6QRN6	E2R8I9
Q9ULB5	Q925Q5	Q5I0G4	Q6Q7D1	F1P9Y6
P17927	P59113	D3ZBV8	F1MFH0	E2RTK0
P22083	Q99L02	D4A8Y0	A5PJT8	J9NZP7
P02763	Q8BLN5	D4A913	P08858	F1PKE9
Q5VST9	P33766	D3ZXX4	F1MJJ2	F1PB37
Q8IVA1	Q5DTN8	P11384	A6QLU5	F6XC21
Q9NZH8	P13808	D4A834	E1B7S8	E2RIG8
Q6ZSG2	Q6VH22	P36860	Q32KT0	F1PYJ9
O14813	Q80TA6	D3ZVG2	Q08DE2	J9P346
Q9NTJ4	Q6GTM0	-	-	-
Q6FI35	Q8CDK3	A0A0G2K5B2	Q29RY7	J9NUS1
Q9H2T7	Q9D6J5	P63142	E1BE12	E2RAS2
Q6ZU35	Q80WJ7	Q5BJP1	F1MNA8	J9NYJ6
Q86TG9	P97436	D4A5J1	-	-
O76096	Q5SXI5	F1LNH0	Q3SYR8	F6X771
Q32NC0	Q91WE1	Q9JJI5	F1MN30	F1P9L2
Q6PL18	Q9EPQ2	Q62950	Q2YDI0	F1PU34
Q16663	Q8VD12	O35112	E1BM92	E2RSI2
Q9ULK6	P59823	O35763	E1BJE7	E2R9X4
A0A0S2Z5Z3	D3YWG8	P27653	-	-
P36508	Q8BVI4	Q6AYB4	F1MFY8	F1PUY5
P25100	Q9QWV1	D3ZY52	A5D796	F6Y2P4
Q9NS75	Q9R0U5	D3ZAU0	E1BIR5	J9P951
Q5VW38	Q8R4Z4	A0A0G2K972	Q32P84	F1P8A1
Q9HAR2	Q01822	B2ZDP9	P21793	B6EY10
Q9NRE1	Q9EQB9	D3ZQG6	F1MNU5	J9P297
Q9GZP1	A0A0R4J0S2	Q9QYF3	-	-
Q9H8Y5	A0A1Y7VJS4	-	-	-
Q5BKT4	Q9BCZ3	D4ACC5	G3MWY9	F1PN20
Q969W8	A2CG28	M0R7W7	F1N272	F1PAS3
Q96DR7	Q4VA36	Q62668	-	-
P42685	P06876	B2GUY1	Q08DV0	E2RLI2
Q9H5Q2	S4R2U2	D4A527	F1MQ45	P49670
Q9NYT6	A2AJ88	D3ZGK0	F1N7Y8	J9P428
Q9H330	G5E893	D3ZZY7	Q32LC5	-
Q8TDI0	P38585	Q5M823	Q8MKF1	F1P984
Q8N0W7	Q8C0Q2	Q9WVI4	F1N665	F1PF47
Q7RTS3	Q8R3U1	G3V7C3	Q9MZ06	F1Q4H4
Q96A61	Q5QNQ6	-	-	-
Q5XG85	B1ARV6	-	-	-
P18564	P51910	Q4KLN5	E1B9E0	E2RE07
Q9GZU1	Q5XKE0	M0RAP1	E1BJC2	E2RAW0
O14795	A2ASM7	Q5M7W7	G5E5H1	E2QYM5
P0CG30	P97950	D4A7F5	A2VDW0	E2RSB9
Q96JJ7	P63024	-	-	-
Q9H4K1	Q9EP97	-	-	-
B4DSR6	Q8K0E1	P62762	-	-
A0A024R0K8	B1AT66	D3ZAU3	F1N7E1	E2RIR3
P18545	Q64695	F1M124	-	-
Q9UNK9	Q8VIG3	D3ZA31	F1MDJ4	E2R7Z6
P30531	P97291	D3Z9F2	Q148K5	Q28250
A8K2U0	O54927	-	-	-
P54687	Q9WVF8	A0A0G2K4H9	E1BNU3	E2QVZ6
P54922	Q8K1I3	Q6AY75	Q3SZ16	J9NXG0
Q5JTW2	Q9CR68	Q3B7D1	P05126	F1PHU7
Q96AZ6	Q9JKP8	B1WBV4	Q5EA83	E2RLJ1
Q96JC1	P00342	D3Z9K9	E1BEC7	J9NS07
P13232	Q5SWW4	D4AB70	P34979	F1PTZ1
P51124	Q8C9H6	D3ZE91	F1N7Z4	F6UMS1
O43147	Q9Z1Y9	D4A228	-	-
P02748	Q8K2Y0	A0A1W2Q656	F1MWQ1	J9JHC6
Q5VZB9	Q62059	D4ADD4	E1BKU9	F1PVQ2
Q2TAM9	O88838	Q8K597	F1N4W0	E2RJM1
P14555	Q9D103	P08010	Q3ZBZ7	Q76HI7
O43566	Q9WUH2	F7FH17	P03892	E2R9Y4
O14793	Q8CG72	Q68FV6	F1MVI5	E2RP62
Q5H9S7	D6RD11	-	-	-
Q5TA79	O70514	Q5XID0	Q28043	Q4TUC0
Q8N7J2	Q8C142	D3Z8I3	-	-
Q9UHC6	Q8BSA9	E9PTK4	Q0IIH4	F1PJZ9
P51606	Q8BTX9	D3ZWJ0	E1BHZ6	F1PN15
Q7Z6B0	Q91V08	P02317	F1MFA7	F1PJY1
P12235	O70494	Q6AXN2	F1MSQ2	F1P642
Q96LB9	P36371	A0A0G2K0Y1	E1BGW1	E2RL72
I3L0N3	Q6PGF5	E9PU78	E1BGY0	E2R7W7
Q9BWS9	Q3UQU0	D3ZSU6	Q148M8	J9P7X5
Q6P1R3	P0C7T6	P48679	E1B9T6	F1PR79
O60765	Q9JHI8	A0A0A0MY39	F1MPE8	E2R4X2
Q96N38	F6V035	F1LPA3	F1MWQ0	J9NSQ5
Q9H013	Q80U12	A0A0G2K615	Q3SZH2	E2R0U9
P47895	Q8VCW2	D4A3V0	A8YXZ2	F1P9H7
Q6PIM4	A2ACU7	D3ZUP8	F1MSK4	F1P7U6
Q8N0U8	Q9CQ14	Q6QI75	F1MME0	E2RPK1
Q8N3E9	Q9WTR0	Q9Z0T0	H7BWV5	F1P898
Q8TF09	P00848	F1M8J6	G3MZK0	J9P9D1
R4GMX3	Q9QZM8	P24942	Q2KHY1	J9P753
Q8WVQ1	P18242	-	-	-
Q70J99	A0A182DWE6	Q9JLJ3	-	-
Q9Y5E4	Q9WTU3	-	-	-
Q6FI97	Q64389	Q498R2	E1BB54	E2RCR6
Q96L94	Q6PFX2	Q6AY85	-	-
Q8N9V6	G5E8V9	D3ZN56	I6L9I4	E2RQA5
Q05923	Q01776	F1LUD9	F1MGS8	F1P8E1
Q5VUD6	O88448	Q2ABP3	-	-
P46952	A2AQ17	M0RBE5	A6QL79	F1P783
P26232	P51855	D3ZZ65	G3X6W2	J9P8V3
Q96HF1	F6VYM1	D4A198	Q3T140	J9NU65
Q9UGQ3	Q8BGQ1	D3ZRU3	Q4TVR5	J9P110
Q99594	D3Z4D8	Q5XI37	Q148F1	E2QWT9
P11801	Q3UEG7	F1M820	E1BLR0	J9P832
P52179	Q9Z0J1	Q6IMK2	Q2NL16	E2R5S4
P59536	Q7TN89	D4A6N9	Q2HJF5	E2R8E1
P12645	Q00690	M0R5V1	G3X6C1	F1PR38
Q96MN5	Q6ZPK7	Q5RK17	Q1RMU9	F1PJY6
O76093	A2AIL4	D3ZED3	F1N1H1	E2RQ17
Q9Y2Z9	Q9ERB0	F1LWG4	Q08DA5	J9P959
P63092	P70245	-	-	-
Q7RTY3	O55103	Q62947	E1BI43	E2RH90
Q8IV04	Q9CX30	M0R9G9	A4IFN9	J9P3G2
P54802	Q6P1Z5	D3ZXN6	E1BPZ8	F1PL05
Q9UNP4	D3Z665	A0A096UWG9	G3X6G8	E2RT78
O95841	Q3U5W2	D3ZQA1	Q9MZL3	F1PK70
Q96A09	A0A1L1SU27	A0A0G2KB47	F1MWB6	F1PT49
P60982	Q8BWP8	D4A5F5	P35605	F1PYL4
Q8TF62	S4R1F8	B4F791	G3MZN2	E2QTR5
Q9BVV6	Q3UW09	Q642B8	E1BM16	E2RRC5
Q8WWG9	Q8CDG8	Q9ERA7	F1MT65	E2R8Z0
P20594	O08908	P29101	F1MSG4	E2RHB4
Q15646	Q60989	Q9ERC1	F1MX85	E2RSK8
Q8N6N3	Q4KL18	Q925B5	-	-
Q96I34	Q80X32	Q63089	A0A140T870	J9P0A1
A0A0S2Z576	Q9CQJ0	D4AAT5	Q2KIY7	J9P401
Q8N9J2	Q8BU31	M0RBF1	F1MTC1	E2R8P1
Q8NDZ6	Q9R0N5	D3ZXC8	F1N3G8	F1PCD1
Q8N2I9	Q8VDK1	G3V6V1	Q2KIW2	F1PBA0
P00918	Q99L90	A0A0G2KA10	A2VDR7	E2QSN3
D6RF84	A0A0R4J0J5	P04774	Q3T0S3	J9P3I4
O14827	Q9Z0E8	M0R4G0	Q1RMX6	F1Q0Z4
Q9Y484	Q8BQM9	A0A096MIU9	F6QUQ0	F6XUJ3
P58397	Q3U0X8	B6CZ62	F1MEX4	E2RCN6
Q86TL2	P62951	Q3B8N9	F1MM86	F1Q401
Q6ZU15	Q8CFI0	D4AAF1	F6QYC3	E2R1T2
P60412	Q9JJV5	Q719N3	F1N3G1	E2RKV2
Q9NZI5	Q9WTZ8	D4AEL1	F1MUW6	F1PQ47
P16066	Q91YE6	A0A096MKD3	G8BLB4	E2RDP5
Q2M385	P29755	A0A0U1RS05	E1BC13	Q867B7
Q9P126	A0A286YCI8	Q4V7F5	E1BKM5	E2R0X2
Q96K80	P0CB42	P12939	E1BMV0	E2RR44
Q8WVB3	Q6ZQM0	D4A0E6	G3MX43	E2RT27
Q5T036	P13379	D4A6W4	-	-
Q53H96	Q8K094	B5DF44	Q5E9R1	B3XXF2
O60706	Q8VIK5	-	-	-
Q9P243	A0A0B4J1F9	F1M6X5	-	-
Q9H175	Q61627	F6QBA3	E1BEH5	E2RR60
Q96E14	Q9WTU0	B0BNN3	-	-
B4DXL2	J3KMH5	D3ZLK2	D3IVZ2	E2RMJ5
O43790	Q9Z185	-	-	-
Q5BKX8	Q6ZWQ9	Q2KJ10	F1MZJ2	E2REQ5
Q64LD2	Q80YD6	F1LQP5	A0A0A0MPA2	E2RBC7
Q05CH4	Q91WT4	Q4V7D3	Q863D4	E2R983
O43827	Q9WVH9	F1M8Z0	B0JYN4	E2QWT2
Q16775	Q9D131	R9PXY2	E1BBB8	F1PXV2
Q9H4G0	O89050	-	-	-
P26992	O89101	-	-	-
Q9H3S3	Q8K135	-	-	-
Q5VWI1	E9QKI2	D4A1U1	F1N5A1	F1PRV7
Q6W4X9	Q8C0C4	D3ZZ22	Q0VCB4	E2RD54
P43366	E9Q226	D4A7X9	P05632	J9NUZ6
Q9H2L5	Q3TFI6	-	-	-
Q8TA86	Q8K2F0	D4A601	E1BIQ0	E2R5P8
O15083	Q99M08	B0BMZ6	G5E551	F1PYI4
P33121	Q9JJ43	G3V7N5	D2CNK1	E2RB95
Q9HBF4	E9PXE2	-	-	-
A2RRL7	Q9Z1D8	D4AC26	F1MTY1	E2RI15
P09603	Q9Z0Y9	A0A0G2K2Z0	-	-
Q13491	P61208	-	-	-
Q8NG08	Q8BNW9	D3ZSA0	G3N0I7	F1PBL2
P01189	Q99P50	A0A0G2K5V3	F1N5M5	J9P3S8
O94919	Q80UN1	-	-	-
O60906	Q5F2A4	G3V780	E1BI54	E2RM70
Q9UN73	Q640P7	D3ZEJ6	-	-
O60330	Q8C010	F1LVY9	Q3T099	F6V727
Q5THR3	Q9Z1W9	B1WC67	A4FV31	E2RH81
Q17RG1	Q8BGD7	Q5PQN7	E1BAZ9	J9P251
Q9BSF0	Q920M5	Q5FVJ3	A6QQB2	E2R727
Q7Z443	P32082	F1M9B3	Q5G235	E2QW43
Q6GPH6	Q9EST8	P97580	F1N1C7	-
Q5VTQ0	Q6J1H4	F7FF05	-	-
P45452	Q8K1S6	A0A0G2KAX1	F1MQF9	E2RH23
Q9BW60	P16406	P19492	E1B902	F1PAM8
Q1MSW8	P01746	Q63250	F1MEL7	F1PB96
P07093	Q91YP2	D3ZFM7	P22444	E2RSG8
Q6JBY9	Q7M759	P67779	-	-
Q9ULE6	Q8BKR5	Q62951	F1ML17	E2RES1
Q9HAH1	Q9Z139	F1LWT9	F1MMI6	E2R945
Q86WV5	Q5SS00	-	-	-
Q13608	Q9CXP8	P19999	G3MZL4	F1PI77
P24821	Q3V3W4	D3ZJ32	Q29626	F1PZ24
Q8TAE7	Q3THG9	D4ADJ7	F1MPJ6	J9NYQ8
Q92953	Q8BGE5	D3ZD80	Q2KIQ7	F1PGN2
P35452	P52187	B0BND2	G3N2J6	E2RFR9
Q8NET4	Q9Z1R9	F1LSP9	Q0P5J1	F1PHV6
O00712	A0A0R4J099	G3V8S8	A5PK58	E2RN91
O15503	A0A0R4IZX1	D3ZZK1	-	-
Q2M2I5	Q8R0F6	Q9Z1J7	A6QP83	F1Q065
Q9NS64	Q9EPT5	B5DFG3	F1MVX3	E2QXX4
Q07000	Q3UDF0	A0A0G2KAK0	Q32LD3	F1PQF9
Q5VV67	P19221	F7F5J1	F1MQ21	J9NT12
Q5T1N1	Q64512	F1M344	E1BJG8	E2R2U7
Q92506	Q922P8	A0A0G2K3Q3	A6QPI1	F1P7P5
Q8NE62	Q7TN73	Q3B7U9	E1B8G1	F1PKF8
Q8IU54	Q924W6	F1LTN7	F1MFL6	F1PLD3
P35555	Q8BLE2	F1M3M0	E1BA85	F6UVJ4
Q96P15	Q91WD4	D3ZAD7	F1N793	J9NVN4
Q6LCG8	Q8R3F9	D3ZFG9	F1MU80	F1PJV8
A0A0S2Z5D5	Q8BW88	O70418	A5PJB5	J9NZ58
P49842	E9QLQ3	D3ZKV0	A1L4Z7	E2RKJ6
Q14820	Q8K1S4	D3ZZU7	P49884	Q9XT54
P00156	Q80VJ8	F8WFZ9	P11242	F6XU71
Q86SG2	P15331	P54283	G3X6R1	E2RL39
Q92820	Q8CHY6	A0A096MJ01	E1BBM0	E2R5B2
Q93033	Q8BGZ4	Q6AYT4	F1MPL4	E2RLF5
Q00888	Q6NV72	Q5XIX1	F1N331	E2RCK0
O75762	Q8CI70	D3Z8M5	F6RBJ1	E2RQ11
A6NHQ2	Q8K4R4	P01041	E1BAB5	F1P8H1
Q6U841	Q8CDV6	B1WC80	F6R621	E2R236
Q494U1	Q8VCV3	D4A2K5	F6QHN4	E2R0K3
P28698	Q7TPN3	A0A1P0PI13	A5PJM4	E2R4Y9
P13671	O89053	Q5BK63	A8WFK5	F1PBC6
Q86SJ2	Q99J27	F1LVG9	A3KN30	F1PXX1
P37058	Q8R0F5	P00481	F1MSS8	E2RP16
Q6IB77	Q61845	D3ZZ89	-	-
Q6J9G0	O88792	D3ZTV3	Q0P599	F1PAQ4
Q96T68	A0A0R4J108	Q66H46	Q1KZG0	F1PGZ2
Q9UPN6	Q62426	G3V8L6	E1BIU4	E2RGE1
Q86V21	Q8CG03	D3ZV99	F1MTU6	F1PI88
Q99489	Q8K2C1	Q5U3Z6	F1MI76	E2RM44
P52895	Q8C8U8	O70248	E1BHI9	E2RRV5
Q9P2G9	Q9CPX7	D4A3I1	F1MRQ8	J9P0J4
Q96PE2	E9QN53	-	-	-
Q01955	P97807	Q63635	Q5E9D3	E2RM91
Q6NSZ9	P14576	Q7TMA5	Q08DL2	F1PS26
Q86YR7	Q8BG36	F1LPJ0	F1MIW3	F1PHT5
Q15415	Q792Z0	D3ZG85	Q08DC9	F1PRL3
O60353	Q99MB3	Q6DGF5	F1MW33	F1PYH8
B4DLD4	Q9D2E9	Q63598	A5PK95	E2RDG6
Q9UHX3	Q8VC73	-	-	-
Q8IYJ0	P01727	A0A0G2JUS5	F1MLU4	E2RQF4
Q9BS34	O54957	Q62962	Q5EA01	J9P0L6
Q9UJT0	Q3TD49	Q499S1	F1MJJ9	F1P9V0
Q8NCC3	Q9CX97	O35552	Q1LZH5	F1PIA0
Q6ULP2	Q8VDV8	Q9Z0M4	F1MT41	F1PGF4
P04118	O55101	F1M7Q4	Q32LN0	J9NVU4
P07098	Q8R1K4	D3ZEQ6	E1BC75	O97799
P49763	Q99MT7	Q3T1I2	-	-
P01570	Q8CBC4	D3ZZP8	F1MDL2	E2RNJ2
Q96RD9	G3X9B2	Q5XIR1	G3MYN5	J9NTV1
Q6ZVT0	Q6NSU3	P04640	Q402A0	J9P9I5
Q8N142	Q2TV84	D3ZJJ0	Q1LZF3	E2RFF5
P47890	Q8R3Z5	D3ZJ78	F1MFS4	E2RGL9
Q9NY56	Q61559	M0RBJ7	A5PJG7	E2RBQ3
Q9UG56	Q61122	P21818	Q2KIL4	F1Q4I8
O94864	P43404	B2RYT4	F1MQ25	F1PER0
B2ZZ90	Q8BWC6	D4A4M0	E1B9Y0	E2RBM2
Q95460	Q3UMW7	G3V6B5	E1BED9	E2RMU8
Q7RTR2	Q8R1D1	A0A0G2K9E1	F1N2H6	E2RT07
Q5TF21	Q8BKV0	-	-	-
O60290	Q9DBS4	B0BNK2	A6QQR5	E2RJS1
H7C1Q1	Q9QY73	D3ZT71	E1B863	E2QZY5
Q6NSH1	Q9CQG2	A0A0G2JWS3	Q2KIB5	F1PCB9
Q01546	Q3UD82	F1M885	G3N3W7	J9NRN8
Q68CL5	Q9D0S9	P63100	P0C914	E2QWF4
Q7Z353	Q8VCE9	F1LSM0	E1BNG3	F1Q448
Q96DE0	A2CG63	Q66HH3	F1MZP5	-
Q6IPM2	Q499E0	F1MAM2	E1B997	E2R2G9
Q06033	Q8R007	-	-	-
Q8NBQ5	P09528	Q4G008	-	-
Q9H4M7	Q8BWY9	A0A0G2K4R1	G5E5H6	E2RC33
O00198	Q8VCC9	D4A666	E1BNT5	F1PBF6
Q01954	Q80UG2	D3ZCE5	Q70IB5	E2RN96
Q9NWZ5	Q80U26	D3ZPB8	Q0VC35	E2RR90
O94983	Q3USH5	A1L1L2	Q0V898	F1PUV3
O95427	P97366	A0A0G2JXU5	F1MWZ2	E2QZJ4
Q6NSI1	K3W4M4	P0C7N0	E1BJS9	F1P977
Q8NDI1	Q922J9	F7F350	F1MV19	E2RC58
Q96P64	Q6ZPG2	Q5PQV1	E1B721	E2RNF2
Q70JA7	Q91ZR1	F1LN86	F1MD71	E2RPS3
Q8IUL8	Q9WUG7	F1M9I4	A7E2Z2	E2R082
D3DWK9	Q8BMF3	D3ZA50	A6QR33	E2RMK6
P04222	Q8VE49	D3ZEG8	E1B8C7	J9NXD7
Q96I15	Q8BU85	Q4QQW3	G3N0D4	E2QVY8
Q96HR9	Q8K0J2	D3ZXL0	F1MGY1	F6XXC7
Q5VWT5	O08689	E9PTU9	G5E5E9	F1PB15
Q9NUP1	Q6ZPV5	-	-	-
Q8IY42	Q8BH66	P27615	A4FUE0	J9NTW5
Q5VUM1	Q9JL15	P41350	-	-
Q9H3U7	P49282	D4A4B3	G3N3S4	F1PAQ9
Q494V2	Q9QZ84	-	-	-
Q9H579	P70280	Q6IE41	-	-
Q58FF6	Q1HKZ5	B5DEK0	Q29RY9	F1PVH5
Q13398	Q8CGK7	Q3ZAV1	F1N5P2	E2QT30
Q7Z408	Q61503	F1M3G7	F1ME38	E2RAT8
Q59FY4	Q3UX62	Q68FX6	E1BI32	-
Q8WZA9	Q9JLI7	-	-	-
P55056	Q9DB28	Q6P6S2	A0JN61	P62999
Q14028	Q8R3F5	M0R5M8	G3X7J6	F1PIA4
Q14183	Q8K1L2	Q5EBA9	F1N7Z6	F1PMG5
Q96K37	F8VQD1	M0RC38	F1N066	J9NWA9
Q9C029	Q8BL06	P12346	G3X7B3	E2RF16
Q969R8	E9QPB2	G3V631	F1MS24	E2RJH0
Q9Y458	Q3TXX3	-	-	-
Q92738	Q99LG4	A0A0G2K3V9	-	-
Q6NX45	B2RWH3	-	-	-
Q8NAP1	Q148V7	D4A3W8	F1MZP8	E2RBV4
Q10469	Q8R1M2	G3V7G4	E1BGJ6	F1P6G0
Q96MH7	Q9Z2Q5	D4A107	F6PU96	F1Q034
Q8WVD5	Q9D4E6	O35910	P48427	F1Q2N4
P0C6T2	Q9Z1W8	D4A8Q2	E1BMA5	E2RIH3
Q8N4H0	P48757	A0A0G2JZ48	F1MQC8	F1PSQ8
Q8WWU5	Q920L5	-	-	-
A6NJU9	Q8K480	-	-	-
P32754	Q9R226	Q9JHZ4	A2VDU4	F6XXM1
Q496J9	Q3TYH2	Q6TXG2	F1MIE5	O97564
P48200	Q3TJB1	-	-	-
O75271	Q5STE3	Q9Z217	F1MMB2	F1P6L7
Q9NZJ9	Q8C4A5	F1LN45	F1N7C7	E2REG4
Q8IUY4	P16331	Q4V899	A2VDZ3	F1PQM9
Q9Y546	Q9WTK0	A0A0G2K0U5	Q58DI5	F1PF00
Q6ZP80	Q497M0	-	-	-
P10645	E9Q9B3	F1M8G6	A6H722	F1PGP9
O75575	Q8R0Y6	Q6P6T5	F1N1Q7	E2RSL0
Q96MY7	Q9JI48	D4ADJ8	A8E4M9	E2RQI6
Q12887	Q9ES89	P35284	E1BP02	E2RGL6
P35475	Q8BWR4	A0A0G2JSM3	A6QPW2	E2R0Z6
Q8N8R3	Q3V0G7	D3ZI49	F1MCS2	F1PE24
Q9NVZ3	A8E0Y8	Q9JJW1	-	-
A5D8V7	Q9EQC7	Q8K3R4	F6QA78	J9NTM4
Q96NG8	Q61606	D3ZG06	Q1JPA3	F1PH11
P49675	Q9D3V6	D4A4X6	F1ME26	E2RCI0
Q86UL3	Q8K0D5	Q5FVF3	Q2KIQ0	F1PYP3
O60583	O35930	Q64541	P25500	J9NSE3
Q96KN1	P49698	C7E1V1	F1MVV2	E2RQE0
H9KV56	Q8BYZ7	-	-	-
A0AV96	Q5EBG6	F1LTB8	Q32KU7	E2R1I6
Q63HQ0	P70658	A0A0G2KAD0	F1MUJ0	J9P198
Q9NQ25	Q62132	D3ZV90	Q0II74	J9NT00
P08620	Q9JJE1	Q9Z1C8	-	-
Q3KR16	P51859	Q5XI64	Q02827	E2RNJ0
Q9ULW5	Q78RX3	P02651	Q02372	F1PCF1
Q8N8N7	Q9WVB2	Q32KJ9	F1MN31	J9NZ69
O43927	Q9R0X5	G3V7X8	G3N2U3	E2RSC2
Q7Z4H1	Q5BN45	P54759	A6QLB3	F1PNX6
O60747	Q9DCS2	-	-	-
Q86Y25	Q8VCK7	-	-	-
Q96FC7	Q810N9	P15650	F6RV66	F1PJF0
Q5FVE4	Q8BUJ9	D4A2I9	F1MBJ2	F1PAB5
Q5XKL5	Q9JKF4	A0A0G2K9P7	F1MTR5	F1Q3A1
P78381	Q9ESB3	D3ZT90	E1BL88	J9P9H9
O95847	P08505	D3ZSX8	E1B9Z7	F1PK05
Q6KF10	Q8K025	Q9Z1I1	Q0P5G2	E2RB87
Q2M3C7	Q80ZU7	-	-	-
Q5RIA9	P23607	Q499V3	Q17QN9	E2RGZ1
A4GXA9	P28236	F1LN48	F1N070	F1PCX9
P15509	Q7TSH3	D3ZCZ9	I6L1R8	E2R7G3
Q7Z7M0	Q99PJ0	D3ZD48	F1MHQ5	J9P3B0
Q8IXT2	B2RQ30	F1MAA4	F1MGJ1	E2R531
Q7Z6A9	Q3V351	Q5U3Z0	F1MTS7	E2R9U5
Q9UHV5	Q8C725	P70712	P24275	J9P8Z5
Q9Y6P5	P18155	-	-	-
P42898	Q3TDD9	D4A828	F1N5X8	F1PPT3
Q15004	E9Q816	Q62718	Q3T034	F1PTH8
Q9Y286	Q3U3J1	D4ACT4	E1BCE6	F6UNP7
P22680	Q8BWU1	G3V6Q4	Q3SZ44	F1PZE9
Q8NEZ5	Q8BU88	A0A096MJE3	Q32LE1	F1PPG5
Q7Z3I0	Q8K303	Q63425	E1BNW3	F1PCP0
B2R4U6	Q9EQZ6	D4A426	E1BCS4	F6Y2L8
Q9HD20	D3YVF0	Q6P747	F1MSV4	E2RH21
A0PK00	Q8BSN5	-	-	-
Q9NXR5	Q921C3	-	-	-
O75888	Q5SW28	Q9QXY8	Q08DC7	E2RCL6
Q96M95	F7A1F0	M0RDB0	G3X6H5	E2R3V8
Q5T8I3	Q3UFK8	A0A0G2K8D1	A6QQP4	E2RNR2
Q10587	A2A4U6	A0A0G2JY62	E1BA29	F1PER9
O60543	Q06806	D4A1F2	G3N1T3	J9NSQ9
Q14952	Q9CXK9	F1LS01	-	-
A6NHG4	Q9WVR4	D3ZHE3	E1BJI3	E2R6A0
Q9P2E2	P97461	Q68FX5	F1MGZ1	F1P9E5
Q9UEG4	Q8BYG3	-	-	-
P39086	Q9JJA2	D3ZJI7	F1MXK4	F6V080
Q9H694	Q7TMI0	D3ZPG5	G3MWU6	J9NZJ2
Q6PG37	P70459	-	-	-
Q0D2K0	Q9DB16	F1LSV0	F1N602	F1Q0G4
Q96SK2	E9Q1Q1	P20059	A6H7A2	E2RSI0
Q9GZV1	Q99JU7	O35511	E1BL20	J9PBF0
Q8TF65	Q9R257	F1M3T8	Q3T0N1	E2RCS7
Q9NR82	Q9JHF5	A7E3N7	F1MQK9	J9P669
Q8N3S3	Q922H4	P21571	P05630	E2R465
Q9BXT6	Q9CPW0	Q6AXZ3	G3MXE7	J9P8K4
P49638	Q8K2Z4	P12390	F1MSP2	E2R5U0
O14594	B2RQE8	Q63448	E1B755	F6XEH2
O94777	Q9Z2L6	-	-	-
P78386	Q9DBS9	Q925F0	G3X713	E2RAD9
Q8IXR5	Q91WL0	G3V7W0	F1MYM6	-
Q711Q0	Q9CUB6	D4ABV2	A6QNR7	E2RIU9
Q6ZMY6	Q9Z1N6	-	-	-
Q8NEX1	Q8CCT7	D3ZCZ0	Q05B59	-
Q14032	Q9ESK4	O35132	E1BC89	F6UTD7
Q9P299	Q9R1Q7	Q6MGB0	E1BP65	J9P802
A1A4Y4	P01887	P63041	-	-
Q9H6F2	Q60710	B5DEH3	F1N592	E2RPR8
Q9NZ56	Q8CGW4	D4A2U2	E1B7M1	F1PN63
Q16563	Q8VC97	-	-	-
O95096	Q3U7M5	-	-	-
Q3ZCW2	Q8BLD9	Q2Q0I9	A7MBB8	F1PW17
Q6DD87	Q61548	F1LMB5	Q3ZBK2	E2RAW7
Q86V87	Q8BK73	P56571	F1N5M2	E2RQC3
P16581	A0A0G2JDM2	Q6P6T6	G3N2I9	F1PSA0
A7MD48	Q99PH1	D3ZSL1	E1BE87	E2RF07
Q8TAI1	Q8BJZ4	Q3MIE9	E1BJQ9	F1PQA9
P40261	L7N1X8	P20272	Q2KJD9	F1PTH7
P22309	Q9Z1P5	D3ZBK4	P43033	E2R4F7
Q9HAW7	D3YUU6	D4A4P6	Q2KI06	F1PNS9
Q9Y6B7	Q8BQM7	D4A7E7	G3N2J3	J9NYB5
Q6N021	E9Q8N4	Q6AY55	F2Z4I6	J9P2G7
O15523	P33434	-	-	-
P16118	P58022	F1M6C4	-	-
O15240	Q8CIB6	D3ZAG0	P79342	E2R099
P36222	Q8K124	Q5PPG5	A6QPL0	F1PZG5
O75355	Q99N03	Q5RJQ0	F1N1D6	F1PAS7
P04921	P35295	J3KTS0	G3MYN0	E2RJB3
Q6NS38	P97295	-	-	-
