B7NZM8	A0A286XBQ9	W5PAQ3	M3WE16	F7BJQ7	F1P6I3	A0A287APW0	P67939	P19139	P97855	P07306
G1SVZ2	H0W7R9	W5PGA6	M3X9U0	F7D7F6	E2R595	F1S841	Q08DV4	Q5XIS4	Q5DTW7	Q8N7C0
G1TBU5	H0UVJ9	W5PP03	M3W265	F6W6Q5	F6UV19	A0A286ZKS0	E1BBI2	Q64346	Q8BH60	P08833
G1SN48	A0A286XAT5	W5QDU7	A0A2I2U8T3	F6TE45	E2R466	A0A287AST0	P02690	Q9JK59	Q9QZM9	Q9NRD9
G1SQV3	H0UVM7	W5PG07	M3WMZ5	F6V1H1	E2QXR7	A0A286ZX47	Q9MYP6	D4A523	Q8BME9	Q8NFW9
G1U001	H0VDL2	W5NWF7	M3WE21	F6Y6W2	F1PF79	A0A286ZXV7	Q3T102	P85834	Q8VH51	P15407
G1SL98	A0A286XH50	W5Q836	M3X7D8	F7BPM2	F1Q1I6	F1RH78	E1B8K7	B1H294	Q9R1E6	Q96AQ7
G1T8M3	H0V1J3	W5PLX6	M3WV64	F6RKR3	F1PHE7	A0A287ASL6	A5PJT8	Q8K589	Q8BWJ4	Q9UIG8
U3KN59	H0V1V7	W5Q445	A0A2I2UFD1	F7BZK7	J9NX63	F1SK11	E1BGM0	D3ZZ79	Q8CB96	Q13889
G1TEC0	H0UY33	W5PLS9	M3WH72	F7DTP8	J9JHG4	I3L9N5	E1BQ25	P07756	P62484	P46527
G1TXV0	H0VSP5	W5QES6	M3VZX2	F7A9M8	E2R1W5	A0A287A116	F1N0L0	G3V641	Q9R0U5	Q9NR22
G1T4E3	H0VF04	W5QHJ3	M3X4J5	F6YX56	E2RT06	A0A287BHS1	Q3ZBI7	Q2TA63	Q4VC17	P51808
G1T7W6	A0A286XJY0	W5PB42	M3W046	F7DNY2	J9P9M5	F1S670	P34979	D3ZUJ8	Q9JHG2	Q9UQ03
G1TRP4	A0A286XHB4	W5PK72	M3X2I5	F6TLD0	J9P4F4	F1RZ95	F1MBQ4	P28564	Q8BZT7	P10721
G1SHZ1	H0VYU8	W5PHU1	A0A2I2UJG8	F7C4U8	E2RAQ8	F1S3B0	F1MEK1	D3ZJ55	Q9CZP6	Q9NQX4
G1SU95	H0V6W5	W5NQT6	M3X8V7	F6YWD7	J9P0S8	F1SN87	G3N284	F1M8A5	Q8R4N0	Q69YL0
G1SDC9	H0VGH3	W5P3G7	A0A2I2UDB5	F6TTL3	E2RQK9	F1SC74	F1MBD8	D4ACM8	Q8CHK3	Q6ZS81
G1SHF0	A0A286Y4A7	W5PYI3	A0A2I2V138	F6QVG5	E2RT15	F1RS35	F1MYF4	P11275	Q99J25	Q9H2C0
G1U211	H0W8P1	W5P054	M3WDE1	F7B5M6	F1PHH7	A0A287A361	G5E5W1	O35793	Q7M6Z0	Q96F46
G1TET0	H0UVI3	W5PZR5	A0A2I2V3T6	F6RUR8	J9P2K0	A0A286ZVI4	A5D7H8	A0A0G2JZ27	Q00609	Q7Z3U7
G1SWQ3	H0VRL1	W5Q817	A0A2I2UMC0	F7CAQ5	F1PAY8	A0A287AC79	F1MWV6	A0A0G2JV16	Q8C9X6	P41145
G1SG79	H0UWG2	W5PKD7	M3W464	F6S9Z1	E2R3P9	A0A287AVZ9	A1A4H7	F1LY77	P06795	Q96GE4
P06813	A0A286XN72	W5PKQ0	M3WI97	F7CWP1	E2REB4	F2Z5F7	F1N413	D4A108	P62881	Q99633
P13642	A0A286Y5L8	W5P5S7	M3W0W0	F6S243	E2RHK9	A0A287B6R8	F1MC72	D3ZHA0	Q9CWF2	Q9NS40
G1TCS9	A0A286XPZ5	W5Q9H9	M3XF28	F6Z254	E2R9I4	A0A287A9T6	E1BFI8	A0A0G2K9Q0	P06346	Q53ET0
G1TDR6	A0A286XQI6	W5PJI1	M3WDF9	F6QA57	J9NYF4	F1S655	A6QQA2	A0A096MJH9	P47937	O94991
G1TJR6	A0A286XWB9	W5PY44	M3VUS5	F6QLN2	E2RRD5	I3LFQ3	F1N0G2	D4A650	A2AHD1	Q8IZV2
G1TJP2	H0UVY6	W5NUV7	M3W0R5	F6SU45	E2R8K9	Q861S1	A4FV46	Q68FU1	Q91XE0	Q9BUU2
G1SS57	H0V6Q2	W5PI59	M3W639	F6WTD2	J9P1Z7	A0A287APN2	F1MGS0	Q4G063	Q8BJQ4	P51959
G1TB13	H0V9J6	W5PU16	A0A2I2U5C4	F6YBW2	E2QU64	A0A287B0D4	F1MJD3	Q5PQS6	Q811J3	Q32P28
G1SFV9	H0UU55	W5Q9U1	M3VUU9	F6Q2S2	F1PQB5	F1RMB9	E1BB51	Q5SGD7	Q61764	Q92523
G1TCF3	A0A286XY50	W5Q9J5	M3VUT8	F6RN93	E2RTG4	I3L7Y4	F1ME36	D4ACG7	Q0VDU3	Q6P1M3
G1T1T2	A0A286X982	W5QAU6	A0A2I2U839	F7DUM5	E2RRK4	F1RGB5	Q2KI67	A0A0H2UHW5	Q8K3H0	P13611
G1SIP0	H0VB31	M4WHJ0	M3X3N4	F6ZQ64	E2QTW9	F1SIG9	F1MNB9	B1WBV3	Q8BLA7	P55082
G1T4D3	H0V1B8	W5PUY3	A0A2I2ULJ6	F7BDI1	J9P947	A0A287AK79	F1MEV2	Q642B6	D3Z4R1	Q9NX95
G1TEL5	H0VMD5	W5QEI7	M3WP40	F7BBJ0	F1PVY8	A0A286ZQL2	A4FV24	Q9WVH8	Q61011	Q7Z307
G1T594	H0W8J6	W5Q0C7	M3VV38	F6U592	J9P4N9	F1RJ36	E1BF52	G3V864	Q3UHD2	Q8N4M1
G1SVG6	H0VYA0	W5P2Q3	M3W1U8	F6SJV8	E2R591	A0A287BHE2	Q0X0C4	F1MA36	Q9DAW9	Q9UPQ7
G1TPM3	H0VGG7	W5PP26	M3WGH4	F7E0C3	F6Y6V7	H6VN91	F1N1T6	A0A0G2JSV5	Q8CHB8	Q15773
G1TXY3	H0VFL3	W5PT88	M3VWT3	F6PQP4	E2QV00	I3LGM4	G3X698	A0A0G2K8J2	Q80X45	Q13901
G1T793	A0A286XHX4	W5PB04	A0A2I2USP0	F7BND9	J9P2W2	A0A287B4M1	Q3SX13	F1M3L7	Q8BQM4	Q8N114
G1SD35	A0A286Y461	W5Q5U3	M3VUE5	F7C8J8	F1PFI5	F1RU32	Q3T187	Q5XI95	Q64523	Q9UKK3
G1SKV5	B5AN23	W5QGN3	M3W4U0	F6YQW0	F1PU16	A0A287AWP7	A5D795	M0RCW2	Q9QXW9	Q9Y6X1
G1TIM6	H0VA34	W5Q5W7	A0A2I2U726	F7C719	F1PRE7	A0A287A8B1	E1B905	Q9P290	Q99NE5	Q15054
G1SX42	H0VKJ8	W5P0Y3	M3X604	F7AJ82	E2RRV5	P51779	E1B876	B5DFA0	P0CG14	Q96JT2
G1SG25	A0A286Y2K4	W5PZL2	M3WVD8	F7D1Z0	F1PUU5	A0A287BNZ9	P23935	E5RQ38	Q9D4H4	Q6ZS86
G1TLH1	A0A286Y1B9	W5Q670	M3X6W0	F6WR44	E2RMU8	F1SJ07	Q1LZC5	Q9R1K8	Q6PFQ7	Q9NXC5
G1T0X6	H0V058	W5PN44	A0A2I2U764	F6WTK3	E2QUC7	A0A287BK29	A6QP45	M0R7R2	Q9CQF4	P49703
G1TWH8	H0UTX6	W5PV48	M3WEB2	F6QS51	J9PA12	A0A286ZWZ7	F1N7I5	Q68FQ7	Q8BG32	Q969R5
G1SPV5	H0VFD3	W5PFP9	M3WHQ3	F6QRU6	F1Q452	I3LGU2	E1BNS6	M0RD26	P70351	Q96F45
G1SCU8	H0VSA2	W5P785	M3WU21	F7CC20	E2R4R5	F1RQ02	E1BIY5	F1LNL1	A0A0R4J0D5	P20742
G1ST20	H0VQA1	W5QEM8	M3XFT7	F6U582	J9P486	I3LTE2	F1N753	Q4VBH2	Q155P7	Q9ULI4
G1TRX6	H0VZ03	W5PHV5	M3VVF8	F6RRS0	E2RPQ2	K9IVR4	F1N5E3	D4A5R0	F8VQG7	Q8IYY4
G1SW03	A0A286XL51	W5P3L6	M3VVI1	F6X3T5	J9P651	F1SV36	E1BEP2	M0RC99	Q8R404	Q9H3Z4
G1T5X2	H0VKW4	W5P5N6	M3WD82	F6RG40	E2RJZ2	I3LSG7	F1N776	G3V826	P14148	Q8IXM6
G1SGY5	H0V204	W5NX11	A0A2I2UJM9	F7DAS1	F1Q435	F1RX57	Q0VCX5	B5DEF8	A0A1B0GXH2	P38606
G1SUY7	A0A286XBV6	W5P4K7	M3W9B6	F7DXS0	F1PJI1	F1SCY2	A6QLC5	E9PTG5	P70347	P21333
G1SL86	H0V675	W5PXI3	M3X536	F6Y6G2	E2QS72	F1RGN5	F1MRL2	O08730	Q99M11	Q8WZ60
G1SXY6	H0VRK8	W5PVQ8	A0A2I2U9H9	F6QI21	E2RG48	I3LLG6	F1MT69	B5DF95	Q9DAR7	A2RRL7
G1SL32	A0A286XGM4	W5PJT1	M3WQ81	F7C7Q1	J9NSP1	I3LGG0	E1BKV5	P0C2C1	Q3UZ45	Q9BZX4
G1T056	H0W783	W5PYR3	A0A2I2U817	F6W292	E2RI04	F1SEX5	E1BAV2	Q641W3	Q8BY87	O00512
G1SM72	H0W543	W5NVW6	A0A2I2UBG6	F6VSZ3	J9JHS8	A0A287BCP2	Q3ZBE1	F1LXR9	Q5NBX1	Q00978
G1TJZ5	H0VFP5	W5PAJ5	M3VUN8	F7DYT0	J9NU13	A0A287AGZ5	F1ML57	P18484	Q69ZB0	Q6LC06
G1U1D6	H0VSI4	W5P4B8	M3VUH9	F6XFI2	F1PWC2	A0A286ZN12	F1N7G6	P47742	B1AVD1	Q32M84
G1T890	H0VNE1	W5Q4G2	M3WJD0	F7BXZ9	F1P7Y6	F1RNV1	A6QQ71	G3V731	Q9R0G6	P49913
G1TN67	A0A286Y489	W5P1N0	M3W7Y3	F6XBU8	E2R117	A0A287AE42	F1N1W5	Q6GMM8	B1AZA5	Q9NYL4
G1SH29	A0A286XWH5	W5NY09	M3WMG6	H9GZN3	E2RIQ2	A0A287ALL2	E1BPQ4	F1M3F2	E9QKA4	Q16473
G1ST46	A0A286XGM5	W5PH75	M3WFF7	F6QE86	J9P2D1	M3VK32	E1BNB3	Q6AY90	Q8VE47	Q9UPS8
G1U136	H0VCB7	W5PWB1	M3WG26	F7ANG0	E2R587	I3LBA6	P00432	M0R546	Q8R3Q2	Q12765
U3KMW6	A0A286XEN1	W5QH07	M3WJA7	F6QDI6	E2RHG1	A0A286ZU80	E1BCY1	Q6P7B2	Q8C8D1	Q9ULC8
G1T2F9	H0UYZ6	W5QGZ1	M3W812	F6ZBL0	F1PX62	F1S8U0	F1MS51	O88406	Q01822	O75132
G1SM20	A0A286XMA4	W5NWC1	M3W015	F7ANP7	J9NZ88	A0A287BDH7	E1BG29	Q642A4	Q9D4R7	P09466
G1T8Q3	H0V1C6	W5PI52	M3WZU9	F6U2P0	F1PW67	A0A287ACS9	E1BBZ3	A0A0G2JZK8	Q8BTG7	Q5T7N2
G1SSA0	A0A286XG13	W5QG67	M3W4F2	F6XN17	E2RGQ6	F1RF78	E1BEB3	O55159	A2AM35	Q8NH73
G1TMZ2	H0UVN6	W5PMH5	M3X9W5	F6XZF2	E2RFN7	A0A286ZJ25	Q3T040	Q5I0K8	A0A0R4J0L6	Q8N9L9
G1TEJ7	A0A286XD35	W5PJQ9	A0A2I2V2F3	F6QAP9	F6XSG3	A0A287BRW2	F1N1J9	M0RAP5	Q8BUE4	Q9NP80
G1TUI5	H0WE01	W5PV54	M3WNI5	Q95M14	F1PJY6	I3L5R4	E1BNX9	G3V707	Q91XX6	Q8N6M5
G1SEM3	H0VQ11	W5NWL7	A0A2I2UX00	F7DY24	E2QY41	A0A287BH55	F1MGM1	F1LTJ8	Q3UC65	Q9BV99
G1T916	A0A286XM19	W5PYR4	M3W2P7	F7DGP4	Q1HG70	I3LCX7	Q1JP75	O89035	Q8BHW9	Q5TBA9
G1SJ37	A0A286XDB0	W5QHP3	M3VXN2	F6XVX2	J9P287	Q1G1K7	A7MAZ3	G3V953	Q69ZA1	P16298
G1SKZ9	A0A286XZV1	W5PCL2	M3WEB6	F7ARN9	E2R8Z8	K7GNP4	E1BM61	O35254	Q8K0A8	Q96CH1
G1TCM3	A0A286XKN7	W5NZH3	M3WTW8	F6PJ31	E2RAQ0	I3L9L7	F1MNF3	D4A057	Q920H1	P35354
G1T2G0	H0V8U0	W5P9Y0	A0A2I2UXM4	F6SBP1	F1PUF1	F1SKT5	F1N4S5	P25305	O55123	Q9NRI5
G1U5N8	H0UV47	W5PWE9	M3WXS9	F6XTW3	F6XCS5	A0PFK5	Q28165	E9PTI6	Q9JKR6	P40261
G1SL73	A0A286XIJ3	W5PMK3	A0A2I2UWT7	F6VLL2	F1PQT1	F1RW04	A2VE24	P43425	P14438	O75607
G1SGW5	A0A286XNC5	W5Q1K5	A0A2I2UHK3	F7AB80	A0SYQ0	A0A287BGT9	F1N1Y7	Q9JK71	Q5SW28	Q2M1P5
G1U095	H0UU59	W5PG10	A0A2I2UWZ3	F7DSS8	Q28288	A0A286ZPQ4	F1MNN7	D3ZTM4	P14847	Q96RK4
G1SW49	H0VX11	W5QAR6	M3WEC5	F6R2T8	F1PEJ3	F1SMM9	F1N0Z7	B1H288	Q3KNK3	Q99586
G1T1Q6	H0V532	W5NQV6	M3W4V3	F6T0Y6	J9P5K5	F1RH75	A5PJM4	F1LTK4	Q3U564	P52435
G1SY56	H0V149	W5Q876	M3W7C3	F6ZI17	E2R0L6	F1RUJ3	F1MTX1	P49805	Q64318	O60841
P12798	H0V079	W5PYF4	A0A2I2US77	F6XWE5	Q38HS3	A0A287ALP1	P11541	P49430	Q6PAI4	Q7RTU3
G1SRR7	H0VD26	W5QD95	M3WY30	F6SAM1	E2RLY7	F1RLP1	F1MZN7	M0R3P2	Q9D1M0	P07900
G1T805	A0A286XKR8	W5P5C2	M3WVP9	F7AWI3	F1PH13	F1S1B0	E1BGC2	D4A6N8	Q8K592	O43320
G1TD78	H0VSM3	W5Q7X3	M3WAS5	F7BVY4	F1PT54	F1S5G5	F6R9Y9	F1LSR8	Q4VBE7	Q8WTT2
G1SK47	H0V3S7	W5NSH8	M3VWH5	F7C081	F1PR38	O77668	A6QPA0	D4A6E8	Q91X95	Q8TAG5
G1T7R7	H0V535	W5PX67	M3WF47	F6XH91	E2R089	A0A287AK43	Q148L9	Q3B8P2	Q3UU43	P10073
G1U106	A0A286XCV0	W5P5N1	M3VVV4	F7BBP6	F1PQ97	A0A287ARC5	G3MY82	Q499U4	Q8K0J8	P52209
G1SP71	H0V771	W5PB47	M3WSS9	F6ZDR7	F1PAC9	A0A287AME6	Q1KZG0	M0R4P7	Q9JHN9	O00744
G1SIZ8	A0A286XFA0	W5QAG7	M3WGZ7	F6V8T3	E2R239	K7GR08	F1MZL0	Q3B725	Q8R1W7	B4E022
G1U2I4	H0VQ71	W5PV58	M3WBN6	F7CV39	J9NV77	A0A287BPG6	F6RFX1	P42667	Q45HK4	P01040
G1SHJ5	H0W8E0	W5Q897	M3W9I2	F6ZH19	F1PYM5	F1RWD9	P06623	P59215	A2CG63	Q96KP1
G1TTA9	H0W774	W5Q8J9	M3VYQ2	F6V9Q3	E2RP05	F2Z5Q6	P79103	P62703	P62754	Q10981
G1SLQ2	A0A286XWB0	W5PK42	M3VUK0	F6YFD1	J9P3Z8	A0A287BF31	E1BNP0	Q9QWG5	Q6TXD4	Q8N3Y3
G1SMC6	H0V8N8	W5PUF8	M3WCK4	F7CZ85	F1P710	F1S874	Q1RMK5	M0R5J1	P10754	Q9UKR3
G1U7A1	A0A286XDI4	W5Q0K3	M3WK15	F7CZB3	Q0ZAQ8	A0A287BL32	Q3SZD4	D4AEK7	Q8BK06	Q9NPA5
G1SVY5	H0UUK7	W5Q834	A0A2I2UI03	F6QM13	F1PTH8	F1RMB8	P46065	D4A9H7	P04351	Q4L235
G1SD66	A0A286XKY6	W5PU57	M3WQE6	F6UJ87	F1PDN2	F1RKY2	E1BJA0	P84082	Q3B807	Q9UNW1
G1SDG5	A0A286XK87	W5Q0J1	M3XCI8	F7BPW3	E2RN40	A0A287AH12	F1MW70	Q3KRE3	Q8K3Z0	P07108
G1THX0	H0UXQ6	W5NZ77	M3XFK1	F6PPE5	E2RK09	F1S408	F1MH28	A0A0G2K5V8	Q09XV5	P13747
G1SMY7	A0A286XXQ7	W5PCI2	M3WKQ0	F7BA40	E2R5J2	I3LIM2	E1BIJ8	D3ZXI0	O88291	P14174
G1U3E0	H0VQQ9	W5NTS6	M3WP20	F6U8W8	F1Q2F6	I3LK59	Q3T0K2	Q9JMJ4	O35286	P04075
G1T416	A0A286XIN4	W5NR60	M3X3F7	F7CEQ2	E2RBV9	F1RUR5	A5PJR6	A0A0G2JXT6	Q9DC11	O95498
G1TYQ2	H0VEM8	W5P959	A0A2I2UL24	F6PKL0	E2RRS0	A0A286ZTP6	E1BFT2	D3ZGI1	Q5U4F6	Q8NFD5
G1SIZ1	A0A286XAB5	W5P3M5	A0A2I2ULH9	A0A1L1R2Y5	E2RAP8	I3LKY1	F1MRE2	A0A0G2K3I3	Q059P4	Q6IPF2
G1ST61	H0UTA2	W5P6H6	A0A2I2UCN8	F6R013	F1PZP1	C3VMW6	F1N5H6	A0A0G2K173	Q8R0H0	O00142
G1SXN2	A0A286X7M4	W5NV64	A0A2I2U957	F6ZMR1	E2RJ05	F1RG45	A4IFN6	B2GUZ7	Q3THU8	O60443
G1SG43	H0VVJ1	W5PUJ9	A0A2I2UXW5	F7CIY9	F1PS86	F1SKE7	F1MHI6	Q5U3X6	Q99MQ5	P20472
G1TMD3	A0A286XHB7	W5Q9K3	M3WX79	F6W7P9	J9NRT4	A0A287BR67	E1BCP5	D4A817	Q8C4D5	O75711
G1TAA5	H0VAQ2	W5Q378	M3W5W9	F6WJ57	E2RJ16	F1SPT4	Q3ZBC8	A0A0G2K639	P28230	Q86SQ6
G1TGT5	H0VW44	W5PKK8	M3VWK4	F6YUH7	E2RQK2	A0A287ARN5	F1MG35	P36972	P04202	O00253
G1SVN8	H0V6Q3	W5Q0M4	A0A2I2UAH0	F6XLR4	E2RRB8	A0A286ZWR0	E1BNK5	Q569B7	Q5NCI0	Q96BQ5
G1T5W3	H0W7M7	W5PT37	M3WJE0	F6U7Q8	E2R5Y8	A0A286ZVH6	Q32LE3	D3ZRF0	Q61508	Q92542
G1SNP3	H0VC27	W5P7K9	M3WJV9	F7BYK3	J9P2C2	I3LFG5	A6QLQ8	P27732	P13372	J3KR51
G1T2N2	H0VEH3	W5PTE6	M3WZ31	F7A8B8	F1PRQ8	I3LKR1	F1MHX1	Q5I0H4	Q9EQ06	Q4G176
G1T8B1	A0A286Y4E3	W5P4Q4	M3W3E2	F6T0D2	E2RB51	F1RGJ9	F1N5K4	Q3B8P9	Q920U0	P05000
G1TDS8	A0A286XLC9	W5NS10	M3VW38	F6U806	E2RPS1	A0A287BLY4	F1N748	D4ACK0	P59530	Q9BY67
G1TJQ0	A0A286XNS5	W5PMQ1	M3WKP6	F6ZZP6	F1PBG2	F1SP14	Q0P5C2	Q4V8B4	Q91VT3	Q9H6W3
A0A0A0MQQ3	A0A286XSJ7	W5P2J0	M3WDE4	F7B3C7	F1P6K1	F1RWY7	Q3T083	D4A9X7	P56501	Q5BKU8
G1U242	H0VZU1	W5P1T1	M3X964	F6ZNQ7	F1PKA2	I3L8U6	Q0II29	Q6B959	E1AZ71	P43631
G1TJ36	A0A286XMB7	W5PVY8	A0A2I2URR6	F6R0A9	E2R4C7	F1RGC9	Q29RQ2	A0A0G2K0G1	Q9JJ28	Q07973
G1SGW7	H0VMU2	W5PAF3	A0A2I2U3Z0	F6RBD1	E2RSD9	K7GP51	F1N164	Q792H5	Q9D1J2	Q9Y6E2
G1SE30	A0A286XWN4	W5PY25	M3WB14	F6ZTX6	E2RAY7	F1SV14	F1MET0	P20171	Q9D7S7	O75884
G1SSI2	H0VBY6	W5PR81	M3WJS5	F6ZAL1	F1PKU7	F1S7S1	Q01321	A0A0G2K527	Q9Z2I8	P18564
G1SH31	H0VKA9	W5QGR0	M3WHM3	F6X9V1	E2R278	F1RTY3	E1BMV7	D3ZRL2	M0QWN7	Q96B54
G1SXK3	A0A286Y1Z6	W5PLX9	M3X4D2	F6VMA0	E2RSQ8	A0A287AGC2	F1MX71	Q14TE9	Q2M2N2	Q6ZSY5
G1SUL8	H0UW96	W5PEB7	M3WL13	F6XIY9	F1PEA8	A0A286ZJ48	F1MJW9	D3ZQT7	Q61572	P51114
G1SV73	H0VK32	W5QBK1	A0A2I2USM1	F7BNW9	E2QYK9	A0A287B6U9	F1N6B6	F1LW07	Q8CFQ3	Q5VTQ0
G1U3S9	H0VZQ2	W5PMF2	A0A2I2V1X9	F6UEM4	F1P966	A0A287BBE0	E1BBQ1	P07825	F8VQF8	P13637
G1TGR6	H0VYA1	W5P7D0	M3X927	F6QHV4	E2RHD5	Q864U8	Q0VC93	Q09128	Q8BGA8	A6NKF2
G1SVD8	A0A286XBE8	W5Q9C2	M3X228	F6RZ36	F1PD03	A0A287BB87	Q0P5L6	D3Z854	P70236	P51843
G1ST02	A0A286XJP7	W5PUM4	M3WE44	F6R5J6	E2RFK2	I3LLX3	Q3MHE1	D3ZTA7	Q9CRB0	Q96T67
G1T0Z0	A0A286XGR8	W5QF08	M3W7E5	F6ZIU0	J9P570	F1S1B2	G3MZY0	M0R5X1	Q9D6H2	Q14691
G1SSZ6	H0VJM9	W5PQH9	M3WJB8	F7ALC9	F6XPD0	I3LNY9	F1N3H1	A1A5R1	Q8R323	Q8N264
G1SZ61	H0V1K2	W5Q078	M3WNS1	F6X8V3	E2RLR2	A0A286ZLH5	G5E5A0	D3ZAU3	Q3TS89	Q9H223
G1SZJ0	A0A286XAS9	W5PD84	M3XE67	F7CRG6	F1PC12	A0A287AXU4	P68103	Q63511	Q3V209	P12110
G1SYW5	H0V2B9	W5PWF8	M3W1G9	H9H013	F1PAT7	F1SHV8	A6QLD1	Q6P4Z9	O54946	Q16533
Z4YNC6	A0A286XXL9	W5QGP5	M3XC20	F7DX03	E2RP07	F1S589	F1MGP2	P56700	O35392	Q9H1Z9
G1U032	H0UU34	W5P256	M3WKE7	F6QAV7	F6UMC3	I3LVF2	E1BJE2	Q5U3Y0	Q9D4I2	Q9P0T4
G1SUT9	H0W7Y6	W5P5R5	M3WSE6	F6V512	F1PMV8	A0A287BL00	F1N4S1	P0C5I0	P31809	Q8IWF2
G1SX07	H0V3R3	W5P6W0	A0A2I2UGS1	F7CQC3	J9NRL3	A0A286ZJB9	E1BAL9	Q9QX01	A0A0A6YW14	Q9BRU9
G1SEZ1	A0A286XN16	W5PNU3	M3VV85	F6ZE54	E2RC12	A0A287ARN9	E1BKT3	P46933	Q9D3D9	P30085
G1SVI7	H0W6I3	W5PUZ2	M3X6H8	F6R406	F1PKP7	I3LDI4	E1BJ55	D3ZP89	Q9CZN8	O43405
G1SN25	H0VKQ3	W5QFB0	M3WBS0	F7DMH0	J9P9I2	F1SPZ6	A6QLA0	Q6P6T5	P42682	Q14690
G1SNU2	H0VRJ2	W5QF66	M3WEC6	F6PL56	E2R8E9	A0A286ZKW4	Q08DF6	A0A0G2K3D7	Q07243	Q8MGT5
G1SJ97	A0A286XSM9	W5PCR9	M3WY00	F7CJR6	F6Y448	A0A286ZIJ7	F1MSQ8	A0A0G2KB31	Q8BPN8	Q17RP2
G1TU72	H0VCJ5	W5Q0L9	A0A2I2V058	F7APQ6	J9P0Z9	F1RT95	E1BI58	Q6GX83	Q3ULJ0	Q6UE05
G1T895	H0VXV7	W5PNY8	M3WDT4	F6SAD8	J9NX12	F1SR23	A6H795	Q68FQ2	Q810N9	Q8N8Z6
G1TE30	H0VZI4	W5Q7X7	M3VUV8	F6SVU7	E2RES8	A0A286ZK77	F1N6M1	G3V663	P09024	O95990
G1TWJ2	H0W7V7	W5Q663	M3WW90	F7BNJ6	E2RHU7	F1RJN3	Q2KJE5	Q9Z336	Q9WU00	O75208
G1T5N0	H0V496	W5PXJ3	M3WML3	F6TI89	F1PBP9	F1S8D0	A2VDT6	P97577	Q5U901	Q9GZP0
G1T2W3	H0VHJ3	W5NZT6	M3WXH5	F6R7Q7	E2QUR7	A0A287ANB9	G3N2S4	Q6B4M5	Q64516	A1KZ92
G1TPG5	H0VS73	W5PI68	M3WBT2	F6R2G9	E2RJB4	A0A287AE60	A5D7H3	B5DF41	Q1RNF8	Q9BZE3
G1SD09	A0A286XPG5	W5PV10	M3X304	F6XCA0	F6UN84	A0A287BHD7	Q3ZBD4	A0A0G2JVA8	A0A0R4J1A6	Q16670
G1TBK6	A0A286Y2Q2	W5P4C7	M3WFF4	F6UWM2	J9P9H1	F1RTK4	F1N719	D4ACX5	P28700	Q8IXU6
G1SVQ8	A0A286XGW1	W5QIW8	M3W336	F7CCP2	E2RQX6	F1RUG2	Q9N1Q9	Q62640	Q62178	P46939
G1TAE3	A0A286XHW6	T2K1S4	M3WC35	F6RFT9	F1PU44	A0A287BR04	E1BEP6	P43253	Q8C767	Q9Y2B4
G1U5W0	A0A286XIY9	W5PE02	A0A2I2U429	F7DWJ3	F1Q2N8	F1RQK5	Q32LB3	F1M965	Q9DCS2	P50281
G1U334	A0A286X769	W5Q8G5	M3WWV1	F7DCE7	J9P206	A0A286ZYA7	Q3MHG6	D3Z9K1	Q9Z273	Q2Q440
G1TU55	H0VS14	W5Q1Z5	M3WR06	F7DKU6	E2REB5	A0A287AY18	G3MXD0	F1LPR0	Q8BKG3	P22528
G1T7J3	H0V2Q9	W5PSJ1	M3XE21	F6PKC7	J9NRZ8	F1SC26	Q3ZBI0	Q9EPA0	Q8BUE1	P18858
G1SHI3	H0WCQ2	W5Q0X4	M3WZA3	F6UCR9	F1PMH7	F1RQM4	F1N063	E9PTX3	Q91YJ2	Q8TEQ8
G1TMV6	H0VIL9	W5PM73	M3VVE6	F6WNH7	J9JHR0	F1SIH3	F1MKU1	D3ZRB3	Q9CZX0	Q8IU57
G1SID2	H0VE29	W5Q1P6	M3WMN9	F6Z2P9	J9P8N6	F1S116	Q0VD15	D3ZV46	Q9Z2I0	Q9H8E8
G1SV86	H0VAN3	W5PSA2	M3W2C7	F6TVI6	J9P2A3	F1SDV4	G3N3Q5	D3ZWZ9	Q8C092	Q9BT92
G1SVI9	H0VYW6	W5PBZ8	M3WXQ4	F6V6T6	E2QVF3	I3LT94	F1MFZ7	A0A0G2K2L0	Q8BVQ9	O00338
G1U6G7	H0V548	A0A0B4J1Q0	M3WG69	F6SNP9	E2RKH5	Q6RWA7	A4D7R9	F1M3G9	Q9CZ57	O60637
G1SNX5	H0V6E6	W5NRN6	M3W936	F7BIR2	E2R9T6	K7GS49	F2Z4E7	B2RZC6	Q62167	Q9UL15
G1TAD0	A0A286Y5C6	W5NVN7	A0A2I2V0D5	F7D555	J9P4A5	A0A287BNP3	A7MAZ7	M0R6T1	Q9WTK2	Q8NHU6
G1SYS2	H0V1Q7	W5P8T4	A0A2I2UPT8	F6R5X3	J9PBG4	I3LI80	E1BHF2	A0A0G2QC40	Q8CIV8	O43660
G1TR93	H0W5W4	W5QG20	M3XBG6	F7AFY9	E2R042	F1RH92	A6QQP9	Q64165	Q0KK59	Q6P4J0
G1TLL9	H0VAM9	W5NPK4	M3WEP1	F6RQ75	E2R4L7	G3FNU6	Q0VCX4	Q66HL7	Q6AXB7	P17544
G1TEI8	A0A286XHT6	W5P8U7	A0A2I2U3R6	F7D7A5	F1PVZ1	A0A287AAY1	F1N4H5	A0A0G2JSU2	Q6P8M1	A6NJ69
